MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
APARAM_stripped.cif,6.669106254,0.803203134,0.164973434,0.038673551,8.30313774,0.449464295,6.130524188,0.78749761,0.023509168,0.218127187,0.919242242,LOW,11.06313,12.00094,0.965457,952.176,986.243,0.5942,0.61546,8.32E-05,0.000182273,0.0049827,0.0350474,1.20E-05,3.00E-05,1.16E-06,288571.8314,1578048.806,1660131.185,-30.5252537,-32.33454258,-41.10490058,-52.39637149,3
APAYIB_stripped.cif,9.253903516,0.586292262,0.110004753,0.036354716,15.78377223,0.996540197,11.08812718,1.044858199,0.027420055,0.285935066,1.198210805,HIGH,4.21212,5.96805,1.10941,1735.04,1563.93,0.6101,0.549932,3.18E-05,0.0123529,0.00446308,2110180,0.001478182,1.44E-05,7.29E-05,15585704.17,58998852.85,107696041.1,-20.26276174,-47.55621373,-39.19888699,-103.6783794,3
APAYOH_stripped.cif,8.885803623,0.666691098,0.098781374,0.028948288,13.328217,0.59738845,9.994503602,0.999761229,0.019465658,0.205578679,1.124772055,LOW,4.32559,6.13125,1.11146,1854.07,1668.14,0.61572,0.553972,3.04E-05,0.00661653,0.00230936,215889,0.001337398,4.25E-05,0.000150907,13480231.74,93239451.42,115624194.3,-20.15407863,-45.75903747,-36.50227064,-99.51431715,3
APAYUN_stripped.cif,9.348784811,0.630349312,0.090802567,0.051453378,14.83111766,1.219156416,10.94905258,1.039376541,0.035700135,0.350286127,1.17117388,HIGH,4.10555,6.02417,1.04671,1619.09,1546.83,0.6149,0.587459,2.53E-05,0.00214904,0.00176522,6468.8,0.001146459,5.33E-05,0.000147499,9045857.134,35774380.35,81351982.36,-19.2526923,-40.81712182,-34.87240485,-83.38502813,3
APAZAU_stripped.cif,9.736315035,0.964328927,0.097463545,0.043519075,10.09646684,0.466716895,9.776909852,0.990201611,0.020075594,0.218595596,1.004169423,LOW,4.51844,6.57194,0.970314,2164.01,2230.21,0.63638,0.65585,2.72E-05,0.00512972,0.00211718,810785,0.001655389,2.90E-05,0.000159238,13052988.08,43084060.54,97649673.71,-19.24029254,-45.54541541,-37.26401863,-101.5904922,3
APAZEY_stripped.cif,9.22466605,1.055307412,0.135463087,0.061930352,8.741212227,0.528791642,8.685684167,0.938804033,0.026272248,0.273867451,0.941571665,LOW,4.70522,6.61049,0.97171,2152.81,2215.49,0.63522,0.653713,2.59E-05,0.00231008,0.00111104,47319.1,0.001580241,3.68E-05,0.000221809,11875651.69,24645907.91,71482754.87,-19.08070249,-42.81514067,-34.21459981,-93.48782019,3
APAZIC_stripped.cif,9.764581003,1.165769307,0.135480782,0.048732765,8.376083456,0.368928821,9.013108573,0.954874603,0.01912872,0.224781714,0.923040996,LOW,4.86225,7.1095,0.893607,2110.59,2361.87,0.65452,0.732448,2.24E-05,0.00106949,0.000794941,50542.6,0.00182444,8.70E-05,0.000281554,10878114.46,24833859.92,59703228.43,-18.32814417,-39.39324626,-33.02336399,-84.3778074,3
APAZOI_stripped.cif,9.368491955,0.328261711,0.105716568,0.023876048,28.53970366,2.100662729,13.63536655,1.134666817,0.031966212,0.336689581,1.455449459,HIGH,4.28228,6.38612,1.14648,1536.53,1340.21,0.61154,0.533405,2.35E-05,0.00203358,0.0016688,17344.2,0.000489501,8.04E-05,9.36E-05,3939029.908,55981888.91,53460671.14,-19.77131884,-40.47737087,-35.09388265,-85.47404891,3
APEBEE_stripped.cif,4.880167762,0.179842891,0.064218825,0.016690732,27.13572797,2.543582876,6.995922901,0.844845015,0.04070884,0.218959528,1.433541477,LOW,4.06272,5.40727,1.31041,980.462,748.21,0.50734,0.387161,3.63E-05,0.00282768,0.00613454,19.6222,0.000160401,2.56E-05,1.04E-05,2275387.999,28359891.16,24977836.83,-22.85626229,-43.18081585,-41.76781957,-70.92242565,3
AQATER_stripped.cif,2.394336098,0.409588912,0.0262445,0.018840037,5.845705364,0.27641649,1.836065324,0.263888129,0.020535786,0.053128832,0.766836922,LOW,5.2416,6.13,1.16397,587.635,504.852,0.45106,0.387517,1.41E-05,3.87E-05,0.000155214,2.16E-06,0.000719452,0.000300351,0.000286601,3524941.292,4042235.687,15456305.4,-19.85504869,-24.31203219,-27.24170314,-16.92657393,2
