MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
GOTNEK_stripped.cif,6.228301154,0.403388853,0.114499031,0.02675996,15.43994363,1.062855155,7.403243449,0.869422031,0.029895972,0.230637671,1.18864571,LOW,5.17244,6.68492,1.16398,1043.16,896.2,0.55168,0.473961,5.35E-05,0.0035691,0.0019618,405467,7.97E-05,2.99E-05,5.49E-05,1479908.239,37065113.79,37393012.29,-26.20439898,-44.26458172,-36.74513945,-101.5759108,3
GOVSER_stripped.cif,7.432526913,1.36425689,0.158904492,0.060854484,5.448040592,0.269488724,5.472126103,0.738156097,0.021482488,0.197942788,0.736240335,LOW,7.38007,7.93316,0.929526,1366.46,1470.06,0.59856,0.643941,2.17E-05,5.49E-05,0.000181764,2.97E-06,0.000534911,0.000236162,0.000217368,3224824.962,3600420.78,10962756.74,-18.49069502,-22.41632022,-25.4031642,-13.36250651,3
GOVXIA_stripped.cif,4.106530864,0.758939719,0.130294432,0.025827772,5.410878837,0.251756437,3.01118689,0.478737711,0.020206779,0.126545124,0.733267809,LOW,5.28318,6.67259,1.1406,912.073,799.647,0.4984,0.436965,2.23E-05,8.01E-05,0.000300468,3.71E-06,0.000420067,0.000146407,0.000204343,3183343.216,3994553.308,20904861.95,-20.22685575,-26.83137383,-29.96084716,-18.10539844,3
GUBVUU_stripped.cif,5.701747558,0.906367966,0.03470986,0.015958954,6.29076465,0.117198452,4.554005375,0.658393539,0.00809101,0.053821953,0.798703438,LOW,4.1316,6.67764,1.0935,1096.66,1002.88,0.54206,0.495709,2.71E-05,8.78E-05,0.000343205,6.03E-06,0.000448607,0.0002345,0.000171775,3962645.662,6717953.623,19243623.68,-20.57542779,-25.63287337,-28.48067256,-18.18799018,3
GUDJOG_stripped.cif,8.975302484,0.558255418,0.111196479,0.057802043,16.07741222,1.676537701,10.82615478,1.034474232,0.045287828,0.428029784,1.206216147,HIGH,4.9879,7.68451,1.00363,1654.91,1648.93,0.60526,0.603072,1.70E-05,0.0017912,0.000600089,11040.4,0.000919355,7.32E-05,0.000238702,4684659.375,39275098.65,42914215.12,-17.70499073,-40.45970531,-30.88267652,-87.0693399,3
GUGJEZ_stripped.cif,11.083014,2.317521783,0.228958304,0.032183562,4.782269612,0.119041393,7.532393766,0.876933015,0.010810562,0.196390189,0.679634057,LOW,6.69871,13.82865,0.986677,2191.85,2221.45,0.78038,0.790918,8.68E-06,9.61E-05,0.000190311,55.879,0.000872622,0.000190726,8.52E-05,2230381.561,5398825.927,4776338.022,-13.58173346,-30.33711938,-32.02370905,-77.06842963,3
GUGKIE01_stripped.cif,2.832975567,0.38485774,0.055691768,0.034671823,7.361098071,0.678765729,2.456027215,0.390233175,0.040046228,0.123296426,0.866942604,LOW,4.16031,6.07266,1.28577,523.93,407.482,0.4662,0.362584,2.82E-05,0.000106342,0.000441809,3.28E-06,0.000334041,0.000209828,0.000169823,3611532.69,8564213.349,28797197.34,-22.51990578,-28.01478562,-30.90769207,-18.92059627,2
GUGNON_stripped.cif,4.964444112,0.432772686,0.281626977,0.042303838,11.47125101,1.29647258,5.260378513,0.721016995,0.049083652,0.385263616,1.059610783,LOW,4.33779,5.22272,1.04494,841.188,805.008,0.5291,0.506343,2.78E-05,0.000788298,0.00497993,3.91122,0.000197479,5.62E-05,1.75E-05,1712321.467,13817526.21,27229866.41,-21.60443898,-37.14213546,-40.36639155,-63.29147102,3
GUHPAC_stripped.cif,9.333730886,0.667595671,0.171443932,0.027442839,13.98111356,0.629487838,10.69217854,1.029066202,0.019553743,0.268106567,1.145541763,HIGH,5.1093,8.2386,0.972915,1700,1747.32,0.61632,0.633478,1.53E-05,0.00140595,0.000510278,2568.77,0.000982478,7.43E-05,0.000260622,4358587.088,30327384.37,38623236.57,-17.14797474,-39.57030906,-30.34905636,-86.10756429,3
GUHPEG_stripped.cif,5.078301346,0.268587349,0.087194523,0.018981178,18.90744806,1.375068928,6.483126655,0.811784506,0.031584635,0.195238545,1.276632916,LOW,4.5324,5.72093,1.21796,859.432,705.632,0.5226,0.429078,1.95E-05,0.0513514,0.0301378,2733870000,0.000163582,3.30E-05,1.09E-05,1160134.825,616827797.8,119646998.8,-20.59321823,-51.48438844,-50.85296572,-116.9831891,3
GUJREK_stripped.cif,3.487898797,0.387101438,0.015015506,0.015011795,9.01029667,0.351565778,3.330033326,0.52244858,0.0169454,0.060817609,0.954739091,LOW,6.09535,6.69718,1.27207,834.802,656.255,0.51918,0.408138,7.28E-06,4.54E-05,9.27E-05,0.00051078,0.000364042,0.000124192,0.000170214,1006588.431,2141223.592,5990108.155,-17.46315219,-27.54764459,-26.54882738,-42.70193756,3
GUJREK01_stripped.cif,3.505997364,0.40277009,0.086795222,0.014844895,8.704711337,0.38648411,3.294776357,0.517825941,0.019282422,0.105940362,0.939754374,LOW,6.10275,6.68707,1.27207,834.205,655.786,0.51928,0.408217,7.26E-06,4.51E-05,9.40E-05,0.000473451,0.00046396,0.000125861,0.000183724,1278886.871,2157626.736,6555936.334,-17.45693249,-27.51255575,-26.63907778,-42.16703457,3
GUJYOB_stripped.cif,12.60800422,0.770224873,0.217338583,0.035948517,16.36925093,0.814442149,15.30648031,1.184875337,0.021608058,0.379262669,1.214028806,HIGH,4.68539,5.1836,0.884515,2802.94,3168.9,0.6736,0.761547,1.38E-05,0.000257248,0.000229307,0.213558,0.005201053,0.000505014,0.000991024,18890927.4,34301732.97,60001471.63,-15.08732444,-28.61829429,-24.44671478,-54.1952036,2
GUJYOB01_stripped.cif,12.87254264,0.850123627,0.211175875,0.024549835,15.14196552,0.50290139,15.19194637,1.181613419,0.014423973,0.310786338,1.180182253,HIGH,4.70636,5.29688,0.856512,2799.1,3268.02,0.68634,0.80132,1.24E-05,0.000210859,0.000183082,0.170528,0.00610019,0.000510459,0.001097882,19334884.98,27519545.16,51391326.88,-14.5488343,-27.53866234,-23.55280232,-53.35503543,2
GUKFAU_stripped.cif,5.322303788,0.566292689,0.054538009,0.040447108,9.39850344,0.678155614,5.17891403,0.714238702,0.031336823,0.175023481,0.973058705,LOW,3.92096,5.13513,1.26859,693.587,546.738,0.52686,0.415311,2.07E-05,0.0142016,0.0108257,5965.45,0.000185651,5.42E-06,1.44E-05,1458030.243,29133323.11,58983588.53,-21.44502847,-49.9982404,-46.54370818,-87.61835368,2
GUKZIW_stripped.cif,4.773895106,0.00036148,0.001969978,0.000516922,13206.53355,18885.55515,19.67221367,1.293853233,0.621048086,2.964829534,4.120788839,HIGH,3.88705,4.93389,1.73567,730.668,420.971,0.4845,0.279142,2.16E-05,0.0171034,0.0232995,364327,0.000297442,2.43E-05,1.05E-05,3330191.936,215117860.5,126264294.1,-22.1116213,-48.28624509,-48.05628871,-104.0266411,2
GUNZAS_stripped.cif,7.169230818,0.799196991,0.113316705,0.029387125,8.970542804,0.359037141,6.830977351,0.834482845,0.017382209,0.164884791,0.952818723,LOW,4.79755,8.67667,1.09483,1580.37,1443.48,0.61648,0.563081,1.42E-05,0.000252843,0.000530396,10.6384,0.000784216,0.000196661,0.000161145,3630270.312,16250655.7,27933037.5,-17.69556526,-32.08182563,-32.88993388,-66.12120853,2
GUPBOJ01_stripped.cif,1.301193986,0.230968656,0.053725392,0.028094961,5.633638813,0.723676514,0.976922131,-0.010140052,0.055787871,0.083044917,0.750789,LOW,3.87626,5.55255,1.53742,324.164,210.849,0.49168,0.319808,6.24E-06,1.98E-05,7.29E-05,1.13E-06,1.90E-05,4.86E-05,2.01E-05,54429.40962,440818.1054,673539.9388,-20.89383614,-26.17139266,-28.00752428,-19.78595148,3
GUPCEA_stripped.cif,3.559170743,1.454310725,0.059653616,0.028119044,2.447324826,0.062622658,1.383419827,0.140953996,0.011112818,0.045847836,0.388691616,LOW,7.95615,20.61655,0.826862,1375.43,1663.44,0.7069,0.854919,4.17E-06,7.84E-06,1.78E-05,1.19E-06,0.000759814,0.000415253,0.000330714,782872.165,803178.9942,1453072.648,-13.14540952,-16.50668206,-18.40878406,-9.273246495,3
GUPDIF_stripped.cif,2.194753414,0.493664864,0.087073152,0.048262558,4.445836789,0.469067066,1.42209819,0.152929584,0.045821124,0.115311221,0.647953515,LOW,3.851,4.74764,1.19856,376.013,313.72,0.5425,0.452626,5.65E-06,2.16E-05,6.37E-05,1.05E-06,0.000187241,9.39E-05,9.10E-05,378526.7442,726196.7843,2074444.551,-21.06834838,-28.4073732,-28.09807498,-15.39211166,3
GURMOX_stripped.cif,8.895677392,1.151774981,0.145446434,0.030311415,7.723450798,0.239292616,7.897683659,0.897499734,0.013455574,0.176072534,0.887811384,LOW,4.48859,6.35581,0.9332,1816.04,1946.03,0.64328,0.689327,1.84E-05,9.18E-05,0.000206102,0.000979799,0.000380782,0.000254927,0.000247748,1949997.157,6521538.832,14224000.52,-18.39217521,-24.96344594,-25.84270767,-41.35651241,2
GURVIZ_stripped.cif,1.479665012,0.316188236,0.041169054,0.01784408,4.679696604,0.294450738,0.991697678,-0.003620704,0.027326201,0.048951088,0.670217698,LOW,4.06312,5.72484,1.38695,455.482,328.406,0.42746,0.308202,7.92E-06,2.59E-05,0.000144962,3.44E-06,0.000179592,0.00013979,0.000107973,589130.1922,1499663.638,6480171.187,-20.48335055,-25.96335664,-30.50610501,-20.97505426,2
GURYID_stripped.cif,2.715641459,0.315282855,0.096479998,0.019614942,8.613349609,0.617088677,2.539592058,0.40476396,0.031114284,0.123612574,0.935172075,LOW,5.82467,6.37063,1.31839,716.425,543.411,0.49832,0.377978,2.46E-05,9.24E-05,0.000320102,6.45E-06,0.00105073,0.00053218,0.000558866,10174800.67,19358332.81,70403612.93,-20.52059827,-25.61117731,-27.85245294,-21.24101775,2
GURYOJ_stripped.cif,6.321627121,0.744455882,0.144814641,0.062358223,8.491607463,0.737406525,5.872727811,0.768839873,0.037713894,0.273750843,0.92898991,LOW,5.75501,6.31188,1.04154,537.186,515.764,0.60354,0.579471,2.46E-05,0.000102219,0.000300986,1.22E-05,0.000898864,0.000411413,0.000551083,6888550.743,13074964.48,51569678.24,-19.83928226,-24.86259405,-27.11393673,-20.44653932,2
GURYUP_stripped.cif,5.29678994,0.694224919,0.11673934,0.05340469,7.629789419,0.61055099,4.674483606,0.669733641,0.034753112,0.210948697,0.882512552,LOW,4.228,5.25589,1.11269,1069.68,961.349,0.57578,0.517467,3.85E-05,0.000190431,0.000827528,1.37E-05,0.000199963,0.000171072,0.000112376,2559402.238,10820460.73,30887813.89,-22.12787151,-28.54788194,-31.79239336,-21.30129246,2
GUSMAJ_stripped.cif,2.05638765,0.707966057,0.087985941,0.075829357,2.904641587,0.33501715,0.952297803,-0.021227218,0.050090896,0.110772309,0.463092551,LOW,3.80635,4.66791,1.32282,304.818,230.43,0.46294,0.349964,4.54E-05,0.000115699,0.00180395,1.26E-05,6.43E-05,6.77E-05,2.58E-05,1152379.38,3095146.906,18361880.25,-25.86126913,-30.16102792,-37.12819518,-23.30827839,3
GUSPUG_stripped.cif,2.135898302,0.536671713,0.068535255,0.017198438,3.979897305,0.180486169,1.2812653,0.107639064,0.019695018,0.058820252,0.599871866,LOW,11.37916,13.35791,1.44659,823.089,568.985,0.55408,0.383024,1.75E-06,7.64E-05,1.52E-05,9.83E-06,0.000333077,0.000130842,0.000111129,252011.058,4316630.047,731115.0261,-15.0201299,-44.80038488,-24.14284317,-31.69108841,3
GUXJUF_stripped.cif,3.117787443,0.209800129,0.109225862,0.028395379,14.86075087,2.077613986,3.654173945,0.562789217,0.060716736,0.228524823,1.172040754,LOW,3.94629,4.85645,1.41449,577.25,408.098,0.46034,0.325447,6.55E-06,5.87E-05,0.000425025,0.00580563,0.000145851,5.57E-05,4.11E-05,403156.1207,1380005.514,7370020.951,-20.01910485,-32.49856216,-36.50784023,-52.62193821,3
GUYHUF_stripped.cif,7.565017835,0.45891272,0.23842405,0.067617614,16.48465493,2.483843293,9.207230852,0.964129032,0.065437793,0.573818584,1.217079861,LOW,5.597,7.59711,1.06576,741.527,695.775,0.56184,0.527175,2.11E-05,0.003199,0.00083951,33881.3,0.000242228,2.97E-05,7.61E-05,1623333.701,30213674.92,20328936.26,-19.56728317,-45.37624882,-35.34568852,-96.13742137,2
GUYJER_stripped.cif,7.463535825,0.460484374,0.105886402,0.040247453,16.20801106,1.435160606,9.028861136,0.955632974,0.038455202,0.314298923,1.209729724,LOW,5.4849,7.72878,1.09877,1136.37,1034.22,0.56654,0.515613,2.10E-05,0.0202943,0.00618847,21558000,0.000236228,1.07E-05,6.25E-06,1624496.597,71531093.54,12687809.48,-19.56262089,-52.02957969,-47.40770376,-109.5406507,2
GUYLOC_stripped.cif,5.594025705,1.094374284,0.04356658,0.02086951,5.11162021,0.105293355,3.963694902,0.598100218,0.008945955,0.058798949,0.708558579,LOW,5.6316,6.80957,1.06721,1500.16,1405.68,0.58994,0.552785,1.78E-05,5.17E-05,0.000155632,2.15E-06,0.00064572,0.00029214,0.0003262,3661358.506,4814045.276,16172887.76,-19.01439196,-23.73020327,-25.793099,-12.54214092,3
GUYLUI_stripped.cif,1.596562963,0.517313196,0.053129417,0.03905444,3.086259884,0.254627539,0.781409793,-0.107121151,0.035830856,0.06283885,0.489432494,LOW,3.82113,4.68693,1.53559,278.821,181.573,0.417,0.271557,2.46E-05,0.000158629,0.000430019,1.73E-06,6.97E-05,0.000115063,5.23E-05,784653.8209,8366600.351,10302892.99,-24.85018677,-31.55869194,-32.83259339,-16.98496577,3
GUYLUI01_stripped.cif,1.656687257,0.521014043,0.085606968,0.056244871,3.179736284,0.38055936,0.832304938,-0.079717529,0.051977528,0.096253431,0.502391103,LOW,3.89974,4.76088,1.51727,309.955,204.284,0.42052,0.277155,2.51E-05,0.000150253,0.000429216,1.68E-06,0.00010439,0.000116475,6.70E-05,1186758.15,7926393.672,13023998.87,-24.70397535,-31.17216841,-32.58321627,-16.68326444,3
GUYMAP_stripped.cif,5.086935903,1.161808146,0.080528832,0.028900897,4.378464655,0.129102376,3.262363135,0.513532301,0.012805505,0.08312952,0.641321848,LOW,5.22432,7.05931,1.07663,1484.52,1378.87,0.57974,0.538478,1.83E-05,4.55E-05,0.000156205,2.10E-06,0.000717165,0.000437143,0.000304872,4208199.604,6397593.329,15305039.13,-18.74570426,-22.67310252,-25.4192819,-12.4358715,3
HABQUY_stripped.cif,6.727083209,2.680119579,0.122288053,0.023129323,2.509993681,0.050508459,2.688631026,0.429531206,0.008739283,0.076452824,0.399672628,LOW,12.0883,25.73803,0.289452,1658.49,5729.76,0.88104,3.04382,6.87E-06,1.71E-05,2.50E-05,3.27E-05,0.00204524,0.000740679,0.000652433,1213742.731,1093349.328,1408309.396,-10.71841981,-16.9392956,-17.38413204,-26.20090185,3
HABREJ_stripped.cif,4.407812283,0.927226861,0.108946523,0.066273002,4.753758188,0.359514489,2.984252385,0.47483555,0.032844573,0.162480151,0.677037086,LOW,3.96027,6.70378,1.11531,1105.25,990.986,0.53902,0.483293,2.63E-05,0.000110204,0.000461132,5.00E-06,0.000155298,0.000129744,6.81E-05,1362022.233,4760301.046,10458795.56,-21.81363424,-28.62510974,-31.7991582,-18.99563135,3
HACNIL_stripped.cif,7.08287066,1.432326221,0.098281318,0.048814696,4.945012214,0.181962738,4.916697688,0.691673506,0.015980833,0.132160833,0.694167369,LOW,6.32845,8.1286,0.874484,1448.56,1656.47,0.61166,0.699453,1.46E-05,3.66E-05,0.000137978,4.54E-06,0.000596547,0.00030082,0.000169451,2274467.596,2874349.1,6103242.477,-17.33726951,-21.55153287,-26.13068231,-17.89604093,3
HADPOU_stripped.cif,3.798183421,0.05709085,0.077680895,0.009578097,66.52875901,11.24411969,6.924124165,0.840364847,0.073400725,0.31269439,1.823009422,LOW,4.08311,4.62887,1.93861,621.375,320.527,0.50172,0.258804,1.36E-05,0.000276362,0.00157512,0.0103518,0.00190436,5.22E-05,9.86E-05,15023247.18,8340766.594,89911755.96,-21.70505153,-35.6585614,-39.09748437,-48.56901502,3
HAFPUB_stripped.cif,1.51820863,0.170371921,0.023285673,0.009312968,8.91114345,0.505917485,1.442197139,0.15902463,0.024656451,0.043480622,0.949933435,LOW,4.26452,4.86053,2.17862,464.696,213.299,0.3693,0.169511,2.69E-05,0.000201778,0.00083361,1.52E-05,0.000892041,0.000182961,0.000341592,15615054.48,24008726.94,185185431.5,-24.28392085,-33.15732657,-34.61081078,-26.48505377,2
HAFWAO_stripped.cif,5.858064749,1.260341714,0.054944178,0.038252226,4.647997191,0.147652303,3.908886595,0.592053071,0.013796175,0.088745826,0.667265857,LOW,4.16625,9.30829,0.852858,1167.02,1368.37,0.63226,0.741342,1.08E-05,3.47E-05,0.000132155,9.55E-06,0.00026919,0.000198554,0.000178714,738936.1608,1755733.245,6012746.833,-16.82932751,-22.19083588,-25.9887675,-19.93414423,3
HAHCAX_stripped.cif,8.839894532,1.453366189,0.072386788,0.030693792,6.082358733,0.137771873,6.931114059,0.840803046,0.00983723,0.103842914,0.784072031,LOW,5.89608,6.85613,0.840075,1865.09,2220.15,0.66398,0.790382,1.43E-05,4.63E-05,0.000100015,5.33E-05,0.000862113,0.000370561,0.000503686,3086493.677,4304110.269,12632753.59,-16.02421071,-21.65101347,-22.0368757,-31.00786857,2
HAHCEB_stripped.cif,3.21820193,0.179390381,0.060477254,0.029885696,17.93965718,3.007626834,4.035027083,0.605846454,0.072810518,0.246282643,1.25381414,LOW,4.07687,4.7252,1.39501,447.49,320.779,0.44114,0.316227,3.03E-05,0.000330407,0.0020026,0.00209451,0.000263927,7.21E-05,0.000110333,3335375.898,9925935.336,92009504.33,-23.67128905,-33.74782675,-37.21029974,-43.36186098,2
HAHCUR_stripped.cif,5.613420743,0.800634808,0.146753635,0.064095688,7.011212464,0.590461134,4.747792689,0.676491747,0.036574845,0.239914083,0.845793128,LOW,5.98763,7.19828,1.10603,1069.34,966.831,0.5473,0.494832,2.06E-05,7.40E-05,0.000280618,7.27E-06,0.000690681,0.000427091,0.000328773,4705366.245,10433183.68,30460259.41,-19.71297983,-24.86350432,-28.6289651,-19.6213026,3
HAHZUM_stripped.cif,10.60203998,2.192193079,0.10784699,0.045130992,4.836271075,0.111055976,7.257209121,0.860769638,0.009972766,0.128953217,0.684510635,LOW,8.40182,9.54986,0.636007,2128.32,3346.38,0.75378,1.18518,6.59E-06,0.000185663,8.07E-05,0.145735,0.001433612,7.68E-05,0.000327454,1792380.679,2707223.898,5018307.872,-12.51255734,-36.50756837,-23.94471053,-53.95035715,2
HAKDUU_stripped.cif,2.896558916,0.28766155,0.049584466,0.02459779,10.06932946,0.87810739,2.905250189,0.463183538,0.037873147,0.120448666,1.003000551,LOW,3.95591,6.44302,1.29418,380.056,293.666,0.44972,0.347495,1.73E-05,0.000305822,0.00505677,0.220454,0.000100908,0.000113694,3.76E-05,673848.9913,13432532.58,73414802.99,-23.61642602,-34.58930832,-46.33154618,-64.32710834,2
HALHEJ_stripped.cif,10.32279123,2.398279266,0.168183985,0.0285643,4.304249042,0.086867089,6.543590436,0.815816109,0.008764804,0.139828891,0.633897392,LOW,8.62529,10.0308,0.648888,2038.04,3140.82,0.7508,1.15706,9.22E-06,2.75E-05,5.41E-05,0.000153476,0.000595189,0.000398298,0.000362239,1062399.555,2117855.796,3796428.085,-14.53088003,-19.81457654,-20.99571309,-36.24994771,2
HALQUJ_stripped.cif,9.252513826,1.648172147,0.106504108,0.028766695,5.61380305,0.117371543,6.932512345,0.840890652,0.009080086,0.115871322,0.749257172,LOW,4.1117,5.83271,0.775057,1604.79,2070.55,0.66604,0.859344,1.75E-05,6.58E-05,0.00017713,7.91E-06,0.000366903,0.000344466,0.000231362,1483514.527,5243222.258,9481409.25,-17.46194752,-23.1817662,-24.82724803,-16.48698765,3
HALVAU_stripped.cif,9.79968577,0.577150409,0.077536342,0.037342201,16.97943138,1.106769742,12.05286031,1.081090123,0.028308604,0.293348868,1.229923142,HIGH,5.45213,7.27336,0.959475,1554.32,1619.97,0.63434,0.661132,1.02E-05,0.000205531,0.000300821,331.695,0.000472698,0.000116591,0.000139081,1379567.182,6863277.562,11982993.94,-16.31899779,-30.94934615,-30.50785623,-76.35126422,3
HAMJOW_stripped.cif,8.864291048,1.30104101,0.242238122,0.070918673,6.813229545,0.415441531,7.387083724,0.868473021,0.026481416,0.3096027,0.833353021,LOW,5.65045,5.9814,0.916107,1724.82,1882.77,0.64514,0.704219,2.26E-05,8.29E-05,0.000173956,4.27E-06,0.000897035,0.000456049,0.00044522,5551869.836,10339030.17,21179470.96,-17.88987926,-23.13914444,-23.92080759,-14.6788001,3
HANWAW_stripped.cif,9.744004232,1.604945852,0.182399824,0.061091751,6.0712355,0.257532607,7.632255175,0.882652882,0.018422114,0.229420624,0.783277079,LOW,4.96034,11.32674,0.840493,1832.36,2180.1,0.69538,0.827348,1.75E-05,6.49E-05,0.00017121,5.07E-05,0.000219808,0.00016287,0.000153667,966834.7666,2653942.435,6600857.334,-18.41281765,-23.95262101,-25.99114258,-29.43715733,3
HAQJIV_stripped.cif,12.06218678,2.183662756,0.055557808,0.029812946,5.523832262,0.079591435,8.953043334,0.951970687,0.006257634,0.086010784,0.742240482,LOW,6.16067,10.92153,0.815808,2180.29,2672.55,0.7359,0.90205,1.86E-05,7.86E-05,0.000199394,4.42E-05,0.000299775,0.000121416,0.000179964,1359172.456,2323884.285,8738588.25,-18.03555978,-25.0581814,-26.93059904,-26.60615676,3
HAQRID_stripped.cif,6.546494539,0.924963118,0.082440145,0.02083245,7.077573593,0.182629604,5.563763543,0.745368664,0.011206528,0.101445783,0.849884394,LOW,7.3788,8.34208,1.08273,1326.76,1225.38,0.60588,0.559584,1.15E-05,0.000114979,0.000360387,0.695004,0.000921567,0.000214142,0.0001095,3438954.197,7957847.558,12754314.76,-16.52101576,-30.95337226,-33.67511925,-63.10921647,3
HATGUF_stripped.cif,6.705721815,0.442263983,0.097729406,0.032085545,15.16226073,1.121973804,7.917874647,0.898608622,0.032136832,0.244451678,1.18076396,LOW,6.66441,8.40819,1.22173,1137.2,930.815,0.57724,0.472478,3.52E-05,0.000150165,0.000458254,0.00027562,0.000242496,0.000158656,0.00012572,3111223.014,8688739.613,21010646.41,-22.30601427,-27.81754656,-29.71180833,-38.36472453,2
HATGUF01_stripped.cif,6.756351963,0.425613754,0.046951115,0.024946928,15.87437413,0.936977204,8.112328909,0.909145551,0.02563402,0.182136384,1.200696612,LOW,6.72964,8.43789,1.22192,1128.61,923.639,0.57528,0.470801,3.58E-05,0.000154452,0.000484865,0.000276685,0.000228521,0.000134257,8.75E-05,2984965.556,7563582.981,15466693.75,-22.55495283,-28.0725601,-30.06422235,-38.56339084,2
HAYTAE_stripped.cif,8.375922628,0.031348274,0.049702665,0.005985476,267.189275,51.04035946,20.32684836,1.308070047,0.082961962,0.705273976,2.426819021,HIGH,3.84109,4.28431,1.60601,666.226,414.832,0.55562,0.345963,2.48E-06,0.00262265,0.000216022,328089,0.000379079,1.46E-05,4.53E-05,450200.8187,18333907.43,4691539.019,-16.17170001,-46.66516297,-34.82095095,-103.1669181,2
HAYYOY_stripped.cif,3.523728107,0.763992304,0.023976118,0.01780165,4.612256026,0.11195774,2.339450333,0.369113829,0.010542049,0.040414203,0.663913407,LOW,4.66165,8.06358,2.80636,1237.81,441.073,0.5286,0.188358,1.23E-05,5.01E-05,0.00016339,5.94E-06,0.000147126,9.06E-05,0.000115844,1510272.333,3801250.391,15856173.15,-19.21311316,-25.91658481,-27.76993199,-20.28897256,3
HAYYUE_stripped.cif,10.35973349,0.697117136,0.070674245,0.031063252,14.86082174,0.669907762,12.14205131,1.084292064,0.019577467,0.219080393,1.172042825,HIGH,9.98527,11.02145,1.97723,1484.51,750.801,0.63892,0.323139,5.00E-06,7.59E-05,8.12E-05,0.144494,0.001033284,0.000278517,0.000410624,3051515.535,12471981.53,19690326.05,-13.42537024,-26.97796723,-24.83228041,-55.79781644,3
HAYZAL_stripped.cif,13.77662381,1.458051964,0.234485223,0.042904008,9.448650771,0.321193259,13.43730278,1.128312103,0.014763215,0.306062984,0.975369797,HIGH,18.55228,19.18041,1.83796,1345,731.786,0.7813,0.42509,8.09E-06,0.000257868,0.000238023,36.257,0.00104828,0.000268136,0.000245024,4651334.583,37935320.48,31997718.32,-13.68289208,-31.63620243,-29.60879652,-70.64337959,3
HAYZEP_stripped.cif,4.661189418,1.684303274,0.063276588,0.033671279,2.767428817,0.066874219,2.060602112,0.313994141,0.010494617,0.056350735,0.442076459,LOW,13.75819,15.55613,2.52019,1678.78,666.133,0.73906,0.293256,5.72E-06,1.44E-05,3.50E-05,2.69E-06,0.000502055,0.000316285,0.000203653,2159843.807,3435654.872,5355147.686,-14.18813775,-19.00073778,-21.50520592,-13.20829186,3
HAZSIL_stripped.cif,7.692496546,0.778965535,0.115782294,0.023924478,9.87527201,0.337763102,7.650565262,0.883693524,0.014854138,0.162223226,0.994549067,LOW,4.67504,7.68282,1.19852,1806.66,1507.41,0.6335,0.52857,8.27E-06,5.92E-05,6.89E-05,0.000674732,0.000519637,0.000157462,0.000295592,1537440.544,3332822.386,7286711.409,-15.66471884,-26.52013788,-23.21908014,-42.56810344,3
HEDCAW_stripped.cif,8.62568121,1.012729973,0.119347996,0.038778223,8.517256765,0.346771485,8.024468986,0.904416303,0.01768186,0.188651258,0.93029974,LOW,6.62352,8.17644,0.938003,1867.71,1991.16,0.63754,0.679678,1.50E-05,0.000490035,0.000348286,0.213699,0.000622788,6.28E-05,0.000207164,2610191.332,8615419.722,20202720.6,-17.66680099,-38.7440363,-29.15133951,-55.4930274,3
HEDCIE_stripped.cif,5.516824542,1.156415268,0.091988185,0.021843086,4.770625826,0.120197628,3.743581172,0.573287254,0.010942205,0.086835775,0.678575355,LOW,6.25656,6.94358,1.02856,1503.81,1462.06,0.58184,0.565686,1.91E-05,5.81E-05,0.000193212,2.79E-05,0.000422338,0.000191157,0.000219588,2477094.215,3408927.6,13026488.51,-19.20554454,-24.19440754,-26.39692157,-30.77785442,3
HEWFAR_stripped.cif,3.673461974,0.017687235,0.067184064,0.002921088,207.6900124,34.51016821,8.512938129,0.930079477,0.072163199,0.307428834,2.317415612,LOW,3.96781,5.17768,1.85088,664.697,359.124,0.50258,0.271535,5.68E-06,0.00331223,0.000422532,25104.7,0.000331148,1.15E-05,4.25E-05,1039273.203,21102284.64,9927073.547,-18.5403827,-44.17552394,-33.2139524,-94.72451809,2
HEWFAR02_stripped.cif,4.147310754,0.047680485,0.089367971,0.010991581,86.9813046,20.13884279,8.043401964,0.905439773,0.100552508,0.451606545,1.939425917,LOW,4.03717,5.37981,1.79775,747.749,415.935,0.52356,0.29123,5.42E-06,0.00220018,0.000367845,92457.3,0.000355082,1.08E-05,6.43E-05,1032099.949,12781258.81,12685297.89,-18.04615044,-42.97719089,-32.63419966,-98.33518659,2
HEXVEM_stripped.cif,5.539745982,2.724782669,0.10399882,0.023100519,2.033096454,0.041879259,1.707116947,0.232263274,0.008945926,0.059017707,0.308157983,LOW,15.94268,28.43129,0.251735,1369.66,5440.87,0.9015,3.58115,5.74E-06,1.07E-05,1.48E-05,1.32E-05,0.002278379,0.001192572,0.000991697,983485.5583,960822.3264,1101798.189,-8.699179449,-12.54916719,-13.00567782,-19.63232295,3
