,MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),SC CO2 loading (mol/kg),SC CH4 loading (mol/kg),SC CO2 error (mol/kg),SC CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,PLD log10,LCD,LCD log10,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),PV (cc/g) log10,K0_CH4,K0_CH4 log10,K0_CO2,K0_CO2 log10,K0_H2S,K0_H2S log10,K0_H2O,K0_H2O log10,DC_CH4,DC_CH4 log10,DC_CO2,DC_CO2 log10,DC_H2S,DC_H2S log10,P_CH4,P_CH4 log10,P_CO2,P_CO2 log10,P_H2S,P_H2S log10,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
10,ACIBEU_stripped.cif,6.5867436364,0.45426538,0.0696301866,0.0152895767,7.4492403514,4.1122096533,0.0878450344,0.0360989063,14.49977023650801,0.511535693298971,7.649587969720402,0.88363804335023,0.0153214240827722,0.1293204470149585,1.161361120455161,HIGH,4.90175,0.6903511575098626,5.78785,0.762517267261024,1.24804,1640.57,1314.52,0.5775,0.462726,-0.334676097346242,1.24e-05,-4.906578314837765,0.000146189,-3.8350853046628934,0.000206993,-3.684044341078234,0.0765399,-1.1161121095204112,0.001258101,-2.9002844924504156,0.000323198,-3.49053133537162,0.000327295,-3.4850606292443818,5790984.25,6.762752383764769,17602225.66,7.2455675843337595,25239358.88,7.40207831893919,-16.60765137,-28.52633427,-26.56421681,-54.34195087,2
11,ACOFUU_stripped.cif,6.9781949483,1.594060447,0.1366548052,0.0368517963,11.0921245017,4.1925043055,0.1303214959,0.0396550369,4.377622543381506,0.1326317973705257,4.474685950780491,0.6507625604051985,0.01315811428511954,0.1269236382762182,0.6412383121899734,LOW,6.66394,0.8237310781667052,7.99495,0.9028157520357248,0.873813,1990.35,2277.77,0.69788,0.798661,-0.09763752240154741,5.49e-06,-5.260427655549908,1.32e-05,-4.87942606879415,3.61e-05,-4.442492798094342,7.89e-06,-5.102922996790579,0.000929047,-3.0319623147207517,0.000579937,-3.236619182365388,0.000474385,-3.323869051769047,1330018.815,6.123857784721131,1991584.975,6.299198841192895,4470505.688,6.650356651786593,-13.15899746,-17.32245691,-20.48775065,-19.780906,2
12,ACOQEP_stripped.cif,5.2880931783,0.3737841025,0.0965886707,0.0135622548,6.0400459671,1.8488748062,0.0842768703,0.0151539743,14.14745341744436,0.5746941295413351,6.084893923921928,0.7842530117103873,0.01764179615069412,0.1451066806772253,1.150678272631739,HIGH,4.00349,0.602438748054818,4.89609,0.689849392418576,1.50065,651.372,434.059,0.5448,0.363042,-0.44004312892230785,6.65e-06,-5.1771783546968955,0.00297395,-2.5266663373966587,0.000116778,-3.9326389669713704,65243400.0,7.814536585151241,0.000253455,-3.5960991368691033,2.74e-05,-4.562249437179612,0.000196625,-3.7063612643686565,754477.8618,5.8776465010511,36479660.74,7.562050790746536,10285722.77,7.012234814649493,-19.05126061,-53.64922214,-28.29562323,-115.9752998,2
13,ADASIJ_stripped.cif,,,,,,,,,,,,,,,,HIGH,6.61235,0.8203558332608343,18.24437,1.261128871249721,0.629248,2097.43,3333.23,0.77242,1.22753,0.08903211478706137,8.87e-06,-5.052076380168273,2.55e-05,-4.5934598195660445,4.31e-05,-4.3655227298392685,2.71e-05,-4.567030709125595,0.000922458,-3.035053398375927,0.00043491,-3.3616006063726283,0.000630528,-3.200295622849047,1536297.601,6.1864753523836,2081613.162,6.318400025261852,5106652.598,6.708136314110986,-13.49404997,-18.92192767,-19.12019278,-26.4333466,3
14,ADASOP_stripped.cif,14.0979924835,2.0298704505,0.2771540496,0.048042055,20.0095018413,6.8465889099,0.284997076,0.0857333157,6.945267112995989,0.2136878882226034,11.86612453617986,1.0743089019899648,0.01336211684803045,0.2998417068278982,0.841688953236975,HIGH,6.68612,0.8251741668826569,18.03956,1.2562259405284044,0.63164,2116.69,3351.1,0.77226,1.22263,0.08729504798460541,1.01e-05,-4.995678626217358,0.000115912,-3.935871600585094,0.00012888,-3.889814472588838,0.0641159,-1.193034257127415,0.001141709,-2.9424445754235866,0.000229966,-3.638336368781943,0.000511702,-3.290982885573776,2168807.861,6.336221078706852,5025934.411,6.701216816702511,12434483.68,7.094627756668093,-14.10586841,-28.7001285,-24.31033647,-50.95151014,3
15,ADATAC_stripped.cif,9.6129352661,2.5144923213,0.0843939748,0.0197318902,16.5612125831,5.7732213371,0.044678121,0.0561046775,3.823012376959689,0.04501653610930003,5.59862833159023,0.7480816375437226,0.005113881750551713,0.06951633718465353,0.582405704044818,HIGH,10.27339,1.0117137751805285,26.34279,1.420661769769153,0.337271,1730.68,5131.43,0.87048,2.58095,0.4117795911636169,7.12e-06,-5.147520006363144,3.68e-05,-4.434152181326482,4.9645e-05,-4.304124484968315,0.114125,-0.9426192094576447,0.00159479,-2.7972964962090634,0.000412973,-3.384078341404911,0.000609001,-3.215381994240482,1143372.394,6.058187702240506,1530077.632,6.184713466303806,3043881.647,6.483427762075514,-11.47776001,-21.88124164,-21.18074604,-51.40084408,3
16,ADAXIO_stripped.cif,3.4617285302,0.6894020867,0.1084974493,0.0349624599,4.5643934881,3.2715855672,0.0637916932,0.0374619009,5.021349074776451,0.2993603473038865,2.426050020867269,0.38489975100816354,0.02589155722867304,0.1175377164952376,0.7008204137622267,LOW,5.00855,0.6997120136627537,5.72682,0.757913532993675,1.28062,930.522,726.621,0.49644,0.387657,-0.4115523694813288,3.5665e-05,-4.447757771643298,0.000105954,-3.974882643057613,0.000422176,-3.3745064592420695,2.89e-06,-5.539102157243452,0.000223406,-3.6509051672459263,8.98e-05,-4.0467236633326955,0.000157277,-3.803334783437878,3045884.176,6.483713384659755,3637934.654,6.5608548938307925,25382525.13,7.4045348248301694,-21.42485551,-25.86621032,-28.37423849,-15.14266821,3
17,ADIQEL_stripped.cif,4.0673735418,1.4178889144,0.1449898193,0.1500503549,5.4901030688,5.4901578091,0.0660120525,0.0342109253,2.868612273142122,0.3203352414241321,1.861522382382414,0.2698682624113735,0.04849725737151023,0.2081188693886348,0.4576718521797248,LOW,3.91364,0.5925808741569121,4.43355,0.6467516106470748,1.23763,470.121,379.855,0.48232,0.389712,-0.40925622121899735,0.0002276,-3.6428277422769666,0.000925476,-3.0336348391506376,0.00762454,-2.117786352832053,8.99e-06,-5.046240308266771,8e-05,-4.096910013008056,0.000237759,-3.623863034532049,2.64e-05,-4.578396073130169,6730965.309,6.828077352234254,81291904.13,7.910047296310668,74373397.93,7.871417623742935,-29.07331255,-35.66615785,-38.98994706,-19.80859806,3
18,ADODII_stripped.cif,3.7345435966,0.4874502747,0.1037985567,0.0288771225,4.5558961313,3.2001786581,0.1225439733,0.0704349172,7.661383715289555,0.5013397742760243,3.302483844343415,0.5188407017355676,0.02841903050648473,0.1403189014894891,0.8843072142336373,LOW,5.32373,0.7262160215427673,5.97352,0.77623032209695,1.21662,883.082,725.85,0.53588,0.440467,-0.3560866235850979,3e-05,-4.522878745280337,0.000103374,-3.9855886786155272,0.000318927,-3.496308712319774,2.63e-06,-5.580044251510242,0.000820282,-3.086036818360578,0.000421972,-3.3747163657419557,0.000520238,-3.2837979285961776,8923506.542,6.95053554637068,15841816.88,7.199804988851221,60256482.11,7.780003773125389,-20.98461397,-25.64727047,-27.3805404,-15.13698953,3
19,ADODOO_stripped.cif,3.4346439372,0.4802273097,0.0654706229,0.0164017156,4.2614410094,3.0960634774,0.0834856931,0.0435655086,7.152121230559829,0.2797433988681705,2.934679536599607,0.4675606837488591,0.01698671073390029,0.0808286301866715,0.8544348672695384,LOW,5.30695,0.7248449958965065,5.94494,0.7741474758091412,1.28796,876.041,680.175,0.5229,0.40599,-0.3914846634629646,3.4813e-05,-4.4582585499042695,0.000118071,-3.927856758496156,0.000391207,-3.407593382835932,2.57e-06,-5.590066876668706,0.000929604,-3.0317020162207515,0.000469246,-3.328599420753141,0.000448797,-3.347950054799578,12442201.47,7.094897229364863,21301070.19,7.328401423435729,67501590.2,7.829314004045104,-21.52084402,-26.09177603,-28.03207844,-15.13941132,3
