,MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),SC CO2 loading (mol/kg),SC CH4 loading (mol/kg),SC CO2 error (mol/kg),SC CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,PLD log10,LCD,LCD log10,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),PV (cc/g) log10,K0_CH4,K0_CH4 log10,K0_CO2,K0_CO2 log10,K0_H2S,K0_H2S log10,K0_H2O,K0_H2O log10,DC_CH4,DC_CH4 log10,DC_CO2,DC_CO2 log10,DC_H2S,DC_H2S log10,P_CH4,P_CH4 log10,P_CO2,P_CO2 log10,P_H2S,P_H2S log10,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
637,FUFQUT_stripped.cif,3.3095744929,0.3512907992,0.0760189626,0.0572174872,3.6984875611,3.2506900312,0.0339631217,0.0565554536,9.421181825532992,1.549685183406609,3.223874337603061,0.5083781052331832,0.07143686814500512,0.2477509947320766,0.9741053856074882,LOW,3.91038,0.5922189629928463,4.65517,0.6679355454062603,1.28932,352.995,273.783,0.46818,0.363121,-0.43994863425869724,1.74e-05,-4.7594507517174005,0.000555914,-3.2549923886594327,0.0117287,-1.9307501220800616,3.58094,0.5539970443050568,5.94e-05,-4.2262135550188065,5.49e-05,-4.260427655549908,1.22e-05,-4.913640169325252,397974.7444,5.599855512486407,11750615.35,7.07006061010664,54995510.41,7.740327237062471,-23.26815359,-39.55707528,-46.9591774,-67.29123939,3
638,FULQUZ_stripped.cif,5.8983712586,0.1653996455,0.0922488198,0.0119165169,6.2396870916,2.8938489023,0.0317172497,0.0475485012,35.6613295075049,2.629123733494326,9.155437300312439,0.9616790927750123,0.03201826587696814,0.2370007595131477,1.552197530286609,HIGH,5.25554,0.7206173458583716,6.24766,0.7957173870437583,1.48771,1138.21,765.075,0.54604,0.367033,-0.4352948865010445,1.23e-05,-4.910094888560602,0.000612936,-3.2125848701763604,0.000280898,-3.5514513529737726,91.5222,1.9615264510946726,0.001478589,-2.8301525290711886,0.000103383,-3.9855508694933253,0.000268054,-3.5717777076889408,8071630.864,6.906961292302988,28140758.56,7.4493358000632615,33438326.39,7.524244532589439,-18.05729029,-38.07079473,-29.31352121,-82.2059528,3
639,FUNBEW_stripped.cif,8.6431581239,2.5169476376,0.1007921715,0.0233157308,15.9520769727,5.73693366,0.1939746739,0.0445907171,3.433984082458529,0.05114248857112916,4.630989237063126,0.6656737716461228,0.006467968413336331,0.07772825818653518,0.535798277744977,LOW,9.18624,0.9631377876216475,11.11935,1.0460794005856087,0.668714,1969.52,2945.24,0.74914,1.12027,0.04932270604377646,1.08e-05,-4.966576244513051,3.26e-05,-4.486782399932061,7.5576e-05,-4.12161609765185,7.72e-06,-5.112382699664264,0.000705391,-3.1515700857449,0.000199773,-3.6994632085193295,0.000189484,-3.7224274559073933,1516595.466,6.180869753289655,1298844.076,6.11355701789575,2858594.046,6.4561524848088085,-15.94879366,-22.25641485,-23.13538484,-18.76759046,3
640,FUNBIA_stripped.cif,5.4675103567,1.1653880507,0.069904766,0.0329635764,7.5371495178,4.6606225145,0.0325590961,0.0637658524,4.691579215537601,0.1456308626531589,3.670443878325398,0.5647185880260701,0.01348089356258049,0.0873784050659705,0.6713190536214642,LOW,6.31229,0.8001869430699646,7.93212,0.8993892757480427,0.99492,1246.97,1253.34,0.58598,0.588972,-0.22990535128172776,2.78e-05,-4.555955204081924,6.86e-05,-4.163675884293248,0.000347444,-3.4591151837381373,2.28e-06,-5.642065152999546,0.000217183,-3.663174172154725,0.000171104,-3.7667398375797534,4.45e-05,-4.351639989019068,1790561.505,6.252989243428538,3488248.014,6.542607355641958,4588830.857,6.661702050018618,-21.98120307,-26.08264262,-30.16615601,-13.18119088,3
641,FUNBOG_stripped.cif,6.7865844614,2.3293124499,0.1532665281,0.0477682917,14.3806571993,5.1984755109,0.3399658812,0.0958935697,2.913556943247934,0.08887933610053422,3.151849379620261,0.4985654552760366,0.01324834419767912,0.1146763444907515,0.4644235104634751,LOW,11.01228,1.0418772453029288,12.59077,1.1000522905943901,0.581592,1940.7,3336.88,0.78566,1.35088,0.13061677192914517,8.85e-06,-5.053056729302175,2.66e-05,-4.575118363368933,5.54e-05,-4.2564902352715706,5.85e-06,-5.23284413391782,0.000659897,-3.1805238460073384,0.000330444,-3.4809021293754796,0.000218181,-3.66118307205398,1014310.093,6.006170747000168,1524719.796,6.183190038940409,2099693.908,6.322155988183631,-14.82662927,-21.37065217,-21.98705893,-16.54278485,3
642,FUNFOL_stripped.cif,6.9455419375,1.5843400224,0.1213237431,0.0224414305,10.3733631671,5.2256591761,0.0982906384,0.0562467159,4.383870784870227,0.09858934215970018,4.458049884290972,0.6491449238012608,0.00976689537068481,0.1032759120063709,0.6418577447817724,LOW,7.20173,0.8574368352096384,9.5586,0.9803942880084496,0.864162,1455.39,1684.16,0.63304,0.732548,-0.13516391301870223,1.23e-05,-4.910094888560602,4.88e-05,-4.311580177997289,0.000123801,-3.907275847297097,0.0783849,-1.1057675913753213,0.000281303,-3.550825636208428,0.000145035,-3.8385271807123216,9.46e-05,-4.024108863598207,894321.3433,5.951493595469734,1826541.012,6.261629428031828,3020733.576,6.480112422864985,-18.27333605,-26.12396671,-26.80140503,-61.4337484,3
643,FUNLAD_stripped.cif,5.0119665476,0.7647073297,0.11578572,0.0536639565,6.2540537351,4.7479392833,0.1280684382,0.0604147381,6.554097695867815,0.4842205352805685,4.092335394214452,0.6119712198317981,0.03208592795758518,0.1865447023390912,0.8165129107204602,LOW,4.83507,0.6844027659875146,6.24379,0.7954482878280965,1.06947,1072.47,1002.81,0.52362,0.489609,-0.310150607581424,4.99e-05,-4.30189945437661,0.000166076,-3.7796931238439657,0.00055135,-3.25857262108966,3.06e-06,-5.51427857351842,0.0005672,-3.2462637778249896,0.000336843,-3.4725724733757564,0.000310695,-3.5076657357694287,9039321.167,6.956135817146196,17859044.05,7.2518582084763175,54687085.11,7.737884775552746,-21.47131471,-26.27543433,-28.22566205,-13.8266032,3
644,FURQOZ01_stripped.cif,4.6800901784,0.1498610833,0.0870143583,0.0075830481,5.390812572,1.6965215464,0.1408009953,0.0428989243,31.22952320470781,1.683526654178364,6.994700632875199,0.8447691317981743,0.02341202365639986,0.1700538700562437,1.494565353710023,HIGH,8.4332,0.9259924000859563,9.28063,0.9675774585719615,1.37611,990.309,719.643,0.52002,0.377891,-0.422633451287224,2.77e-06,-5.557520230935552,6.85e-05,-4.164309428507575,0.0029736,-2.5267174519123303,0.414922,-0.3820335373925296,0.000117683,-3.929286269012351,4.28e-05,-4.368556230986828,1.03e-06,-5.987162775294828,134137.3446,5.127549704740716,1205644.264,6.081219184278419,1254010.65,6.098301224865185,-16.59708355,-30.70101743,-45.21647471,-62.07663645,3
645,FURQOZ_stripped.cif,4.1577981764,0.1246567998,0.0620842893,0.0057190922,4.8043286783,1.6119118193,0.216181394,0.0698724028,33.35396210291611,1.609244949166639,6.332939610888006,0.8016053467383324,0.02095361862249785,0.1285780488001398,1.523147430973029,HIGH,7.91021,0.8981880132866243,8.84599,0.946746444083181,1.44527,940.372,650.656,0.49176,0.340255,-0.4681954841806022,2.46e-06,-5.609064892896621,7.62e-05,-4.1180450286604,0.00280583,-2.551938645602203,0.593848,-0.22632470183491354,0.000186419,-3.729509826023686,3.1e-05,-4.508638306165727,9.24e-07,-6.0343280287798935,197906.9829,5.29646111801355,1019820.097,6.008523566103904,1118552.188,6.048656251670625,-16.52072553,-31.31682755,-45.53639086,-63.49100703,3
646,FURQUF_stripped.cif,4.5524607063,0.1281609187,0.1140803159,0.006861708,5.168194735,1.7027274712,0.1357710216,0.0537008275,35.5214425152213,2.099814333849297,7.058547504829765,0.848715341910655,0.02567288132573241,0.2120056862289738,1.550490594034491,HIGH,7.98727,0.9023983654801969,8.80802,0.9448782920990015,1.41387,980.191,693.268,0.50298,0.355747,-0.44885875361595995,2.79e-06,-5.554395796726403,7.36e-05,-4.133122185662502,0.00339726,-2.4688712143179896,0.435863,-0.36064999626758293,0.000125769,-3.900426392181872,2.76e-05,-4.559090917934783,1.67e-06,-5.777283528852417,147892.246,5.169945404506083,857065.1395,5.933013830850065,2392991.577,6.378941169959505,-16.88406706,-30.87561353,-45.38430382,-61.94839379,3
647,FURRAM_stripped.cif,4.1889615192,0.1042938234,0.0830959188,0.0076291684,4.6842251758,1.5520435028,0.1482834617,0.0197032028,40.16500098125658,3.044212908485947,6.718456641073231,0.8272695187016194,0.03291634098331182,0.1917657404400305,1.603847781909514,HIGH,7.64251,0.8832360156600797,8.46161,0.9274530045983047,1.45513,928.068,637.792,0.48704,0.334706,-0.4753365023313906,2.31e-06,-5.636388020107856,7.39e-05,-4.131355561605174,0.00271772,-2.5657952895898815,0.472496,-0.3256018637373231,0.000145673,-3.8366209357909367,4.96e-05,-4.304518323509803,1.6e-06,-5.795880017344075,146267.9656,5.165149220954256,1592523.353,6.202085809613148,1885068.176,6.275327061663922,-16.31819686,-30.86218733,-44.96304124,-62.34217257,3
648,FURREQ_stripped.cif,4.0650898889,0.0843045739,0.0689719562,0.0047637097,4.600798346,1.384401245,0.1336346276,0.0565258704,48.21909062397859,2.844843589781387,6.842436601319893,0.8352107821399637,0.02562262906520887,0.1559710779654823,1.683219015649229,HIGH,7.30873,0.8638419184202988,8.32622,0.9204478818718899,1.46308,879.207,600.927,0.48574,0.331998,-0.47886453253566263,1.89e-06,-5.723538195826756,7.7e-05,-4.113509274827518,0.00297568,-2.526413773968389,0.343886,-0.46358550445280305,0.000162105,-3.7902035894764667,3.46e-05,-4.460923901207224,3.57e-06,-5.447331783887806,133497.3277,5.125472572241719,1163484.525,6.065760611299756,4639862.6,6.666505120006317,-15.64008667,-30.84280922,-45.09283576,-59.54463596,3
649,FURROA_stripped.cif,4.9359868585,0.1303244206,0.1397657936,0.0078351929,5.6810235589,1.6931785759,0.0979440197,0.0478490963,37.8746119551135,2.516959224991009,7.790705933665308,0.8915768118708849,0.02886106143832054,0.2625989107665414,1.578348191962738,HIGH,8.51874,0.930375363368346,9.40545,0.9733795790295754,1.38798,1006.03,724.815,0.51538,0.371315,-0.43025750623937997,2.77e-06,-5.557520230935552,0.000114027,-3.9429923016229034,0.00565225,-2.247778637478234,2.48078,0.3945882519697365,0.000158202,-3.8007880304244774,3.37e-05,-4.4723700991286615,4.54e-06,-5.342944147142896,181251.1606,5.258280796156477,1592710.906,6.202136953878489,10643392.6,7.027080082151881,-16.47474546,-33.98175756,-49.00535879,-66.47470664,3
650,FUSMEM_stripped.cif,4.0472161397,0.0960272573,0.0805886939,0.0076478523,4.5648314117,1.5082488745,0.1310266193,0.0464322579,42.14653478080749,3.45997719346545,6.575762477380698,0.8179461176971566,0.03565296673731323,0.1948479798062265,1.624761873446207,HIGH,7.49598,0.8748284191415648,8.36778,0.9226102534971465,1.48239,910.679,614.331,0.4809,0.324408,-0.48890844449474247,2.15e-06,-5.667561540084395,7.8971e-05,-4.102532362534839,0.00226474,-2.644981649300886,0.445721,-0.35093690378847175,0.000177013,-3.751994837474678,4.2e-05,-4.376750709602099,7.52e-06,-5.123782159408358,168713.6332,5.227150177931763,1466336.13,6.166233535565277,7538824.501,6.877303633332874,-16.05898395,-31.08693324,-44.42819148,-62.31362613,3
651,FUSMIQ_stripped.cif,4.2604050854,0.1208783859,0.0910779261,0.0097766071,4.8079150857,1.6520926108,0.1071913544,0.0359535563,35.2453836447199,2.948531544636463,6.591282260342126,0.8189699099536731,0.03633187802582263,0.209318488214206,1.547102242209272,HIGH,7.89879,0.8975605676738695,8.7268,0.940855022959768,1.4434,936.501,648.817,0.49212,0.340946,-0.4673144003597436,2.56e-06,-5.591760034688151,7.75e-05,-4.110698297493689,0.00334132,-2.4760819297557095,0.582021,-0.23506134521336836,0.000123161,-3.9095267935207167,4.21e-05,-4.375717904164332,5.93e-06,-5.226945306635737,135932.8104,5.133324295995402,1406260.267,6.148065706218224,8535884.364,6.931248523049863,-16.69835174,-31.07296559,-45.74303214,-63.41576992,3
652,FUSMOW_stripped.cif,4.2657812678,0.1267105838,0.0799164826,0.0080711455,4.88001696,1.6579830963,0.1329993195,0.018167692,33.66554821129315,2.235236256057706,6.514640112831282,0.8138904290541987,0.02883513928432943,0.1732790444476158,1.527185690932318,HIGH,8.04623,0.9055924426403119,8.92303,0.950512353124129,1.43453,949.268,661.727,0.49534,0.345297,-0.4618071948596553,2.53e-06,-5.5968794788241825,7.3e-05,-4.136677139879544,0.00281232,-2.550935264616896,0.517607,-0.28599985899929287,0.000144193,-3.8410558223847144,3.16e-05,-4.5003129173815966,2.47e-06,-5.607303046740334,156018.3964,5.193175809790122,989357.4046,5.9953532084888534,2970151.434,6.472778592507101,-16.58570866,-31.13303798,-45.45826412,-63.20012348,3
653,FUSMUC_stripped.cif,4.19559603,0.1118335077,0.1029484635,0.005514737,4.834603991,1.5604335017,0.153117948,0.0617225977,37.51644848031535,2.066387987707212,6.604798394053081,0.8198595656770343,0.02392073175591975,0.190622982520706,1.574221718875323,HIGH,7.78946,0.8915073514916928,8.7504,0.9420279060305635,1.44819,938.617,648.133,0.49098,0.339031,-0.46976058936799236,2.29e-06,-5.640164517660112,7.22e-05,-4.141462802430361,0.00271188,-2.566729531800128,0.598513,-0.22292641206300215,0.00019788,-3.7035980983078565,3.57e-05,-4.447331783887806,3.69e-06,-5.432973633840939,196154.3559,5.292597956729277,1112414.438,6.0462666169262445,4320811.697,6.635565339966453,-16.29037763,-30.91012781,-45.50285191,-63.68701959,3
654,FUSNAJ_stripped.cif,4.6566276683,0.1268957329,0.0862674638,0.0046375838,5.309693249,1.6311124706,0.1686137832,0.0391320984,36.69648743799485,1.503590482746432,7.285873718008731,0.8624816395867568,0.01779464726160458,0.1583819926494109,1.564624495878708,HIGH,8.21798,0.9147650799898331,9.09754,0.9589239737653998,1.39027,974.108,700.661,0.51546,0.370762,-0.4309047837939991,2.55e-06,-5.5934598195660445,7.4213e-05,-4.1295200120559885,0.0039503,-2.4033699212350177,0.656694,-0.18263695170204408,0.000174267,-3.758784845103301,4.1e-05,-4.3872161432802645,8.24e-07,-6.084072788302884,184447.4567,5.265872671225761,1261302.77,6.10081934950494,1350071.081,6.1303566346234515,-16.38289326,-30.88803263,-46.76568776,-63.10428386,3
655,FUSNEN_stripped.cif,4.7407162349,0.131462745,0.1120354607,0.0062279015,5.4370552834,1.6431883088,0.0614187807,0.0489894982,36.06129048119298,1.909132961956122,7.381490799738087,0.8681440827871174,0.02299213088421136,0.2056975215128879,1.557041264228672,HIGH,8.44931,0.9268212444020061,9.36791,0.9716427097018892,1.38365,971.41,702.064,0.5186,0.374806,-0.4261934654202402,2.58e-06,-5.58838029403677,8.27e-05,-4.082494490447453,0.00456554,-2.340507847888601,1.07802,0.03262681818751483,0.000159487,-3.7972747110918035,3.27e-05,-4.485452247339714,3.14e-06,-5.503070351926785,169873.6151,5.230125929155534,1115435.807,6.0474445818203355,5913515.404,6.771845732433637,-16.33656575,-31.64535576,-47.91678667,-64.83069879,3
656,FUSNIR_stripped.cif,2.4175596516,0.0806623319,0.0134365143,0.0051897773,2.6297842917,0.6904335485,0.0480077886,0.0424701212,29.97135831130119,1.935524800334309,3.570025872158806,0.5526713634777646,0.02804636785697917,0.07064734511896587,1.47670642575296,LOW,5.20275,0.7162329578912322,7.29823,0.8632175458136206,1.57769,505.962,320.699,0.45138,0.286102,-0.5434791062425253,7.85e-07,-6.105130343254747,0.00018954,-3.7222991237112075,0.0187242,-1.727596728662279,963.57,2.983883270117011,0.000178089,-3.749362904718876,2.68e-06,-5.5718652059712115,1.34e-07,-6.872895201635193,65808.90838,4.818284686902802,239118.819,5.378613757070327,1179550.088,6.071716387341282,-14.25470867,-37.10844835,-55.79980567,-82.78846978,3
657,FUTZOK_stripped.cif,5.7543105017,0.2234430211,0.1426490513,0.0164601461,6.1815341329,2.4410425491,0.0612319952,0.0576383768,25.75292114012685,2.001652497477255,8.118333733305313,0.9094669005848357,0.03375565162538887,0.2797001373706746,1.410826497963033,HIGH,4.28685,0.6321382874966385,4.71222,0.6732255582127524,1.63519,774.58,473.695,0.53538,0.327412,-0.4849054072750929,9.4e-06,-5.026872146400302,0.140156,-0.8533883056017691,0.000301399,-3.5208581929477387,4000.91,3.602158782085573,0.000291725,-3.5350263514857003,1.18e-05,-4.928117992693875,0.000185436,-3.731805949352134,1338578.907,6.126643977214858,810589745.6,8.90880110537964,27280982.5,7.435860006990485,-19.73449783,-64.42207571,-32.67410504,-91.48077613,3
658,FUTZOL_stripped.cif,2.0558503893,0.4610163186,0.0489372427,0.0312739174,2.8006628653,1.8756941866,0.0339920617,0.0422346494,4.459387458437789,0.3205946091761533,1.334812689353705,0.1254203266088401,0.0312223306431213,0.07162210805310973,0.6492752081089895,LOW,4.89887,0.6900959148529932,6.50297,0.8131117504919044,1.22812,557.923,454.29,0.46414,0.377927,-0.42259207994819703,9.74e-06,-5.011441043121384,2.5e-05,-4.6020599913279625,0.000146615,-3.833821595288505,6.85e-06,-5.164309428507575,0.000245228,-3.6104299438141374,0.000178407,-3.7485881095914406,0.000135432,-3.8682787080183525,875536.206,5.942274110146351,1635854.948,6.213744791953876,7279420.592,6.862096812869172,-19.55121985,-23.99865602,-29.05500418,-27.44640155,3
659,FUYDAG_stripped.cif,7.3264339305,0.2190199529,0.0826195147,0.0520426368,7.8160538659,4.6573852694,0.1086092238,0.0413783767,33.45098852178595,7.957435025162488,11.16848150125248,1.0479941292072035,0.1033114498030751,0.7673114204599814,1.524408956280628,HIGH,5.02736,0.7013399853704119,5.48557,0.7392217613533948,1.18282,1264.01,1068.65,0.58324,0.493094,-0.3070702819603345,2.62e-05,-4.581698708680254,0.00284507,-2.5459070437716367,0.00255548,-2.592527513622314,20.3051,1.3076051326756617,0.001025531,-2.989051207138176,5.59e-05,-4.252588192113577,6.87e-05,-4.16304326294045,9496124.625,6.977546405566865,56159249.12,7.749421292404857,62014235.9,7.792491396968082,-19.50436583,-39.90194597,-36.16882034,-68.15014569,2
660,GACYAN_stripped.cif,9.1780775368,2.5471922381,0.1182691432,0.0669696948,15.6071562934,6.6540615129,0.1727391864,0.0925492414,3.603213530379672,0.1055007825796166,5.109343980765244,0.7083651420479697,0.01271598458556362,0.1339986279070175,0.5566899996517846,HIGH,7.12137,0.8525635506881853,9.52183,0.9787204234395851,0.673254,2004.22,2976.91,0.71822,1.06679,0.028078935996865322,9.1e-06,-5.040958607678906,2.09e-05,-4.679853713888946,4.44e-05,-4.35261702988538,2.41e-06,-5.617982957425132,0.001028271,-2.987892412291931,0.000462371,-3.3350094127686107,0.000479279,-3.3194115995580162,1880679.619,6.274314818117511,1945525.23,6.289036867202846,4274246.594,6.630859574291343,-14.06330268,-18.12789825,-19.64146674,-10.3957612,3
661,GAGSAL_stripped.cif,3.5305995235,0.2610711888,0.0854171998,0.0211115673,4.0178688543,2.7422054564,0.0515343394,0.0196824492,13.5235126469842,1.141475554894025,3.993424090361353,0.6013454334910354,0.03665737945891437,0.1615071259431517,1.131089511506686,LOW,4.35796,0.6392832397103745,6.02142,0.7796989207332786,1.40811,781.077,554.698,0.46282,0.328681,-0.48322540037122247,3.4e-05,-4.468521082957745,0.000146508,-3.834138660217751,0.000550956,-3.2588830830360833,5.02e-06,-5.29929628285498,0.000312635,-3.504962403616943,0.000124373,-3.905273889932228,0.000172062,-3.7643150332898023,4463809.466,6.649705648825848,7659154.804,6.884180847411829,39846786.21,7.600393299695822,-22.23976261,-28.6951346,-30.55640336,-19.13178242,2
662,GAHSIU_stripped.cif,5.1556888517,0.6660076306,0.088663238,0.0269187054,6.632810481,2.9748456252,0.0619362923,0.0687116307,7.74118585856935,0.3400274221101457,4.58241489112716,0.6610944075879732,0.01907615135667539,0.1260278442741319,0.8888074945826466,LOW,7.01054,0.8457514716025876,8.28313,0.9181944774689825,1.02928,1049.24,1019.39,0.55434,0.538569,-0.2687586481699596,7.37e-06,-5.132532512140949,0.00249603,-2.602750199135383,0.00319182,-2.4959616083021827,336784000.0,8.527351450770698,0.000169828,-3.7699907048871664,2.16e-06,-5.665546248849069,3.74e-06,-5.42712839779952,384598.3565,5.585007424040511,1660191.06,6.220158070888815,3667601.113,6.564382095852095,-18.35934371,-46.56253456,-44.56433779,-117.3334536,2
663,GAJZAU_stripped.cif,5.6074915655,0.0004535377,0.0318364684,0.0003692639,5.6962741654,2.2319247671,0.0917149798,0.0641460001,12363.89293657396,10066.74930175815,22.94672596887283,1.3607207293031303,0.3536049442424596,1.987112066678704,4.092155235694368,HIGH,4.30234,0.6337047282943872,4.80108,0.681338942642585,1.51624,974.727,642.859,0.53664,0.353928,-0.45108507803931724,6.64e-06,-5.1778319206319825,0.0772834,-1.1119137798539858,0.0276087,-1.5589540423327908,49490000000.0,10.694517453811157,0.00024357,-3.613376203874922,1.27e-05,-4.896196279044043,7.61e-06,-5.118615343229427,731578.5053,5.864260936871716,444175492.4,8.647554592463086,95096136.8,7.978162874450338,-18.42726706,-53.29021595,-48.31195852,-133.3254432,3
664,GAJZEY_stripped.cif,5.5323107503,0.0011937996,0.0220486498,0.0011074804,5.5841758527,2.2105874718,0.0276860115,0.0303765349,4634.203890083394,4299.161550117477,20.28131366317137,1.3070960817357178,0.4028959843614156,2.230410897512856,3.665975137436301,HIGH,4.28777,0.6322314813466013,4.80464,0.6816608525933983,1.53408,978.956,638.14,0.53594,0.349357,-0.4567305504462302,6.73e-06,-5.171984935776023,0.0478106,-1.32047580608346,0.0196742,-1.706102918061615,6044550000.0,9.781363974379358,0.000225936,-3.6460145643178135,1.8e-05,-4.7447274948966935,5.11e-06,-5.291579099865287,696453.4572,5.842892098568156,394923115.0,8.596512553901544,46029029.93,7.663031822156901,-18.53988686,-51.17470419,-47.39823305,-126.1944971,3
665,GAJZIC_stripped.cif,5.3981138446,0.0015182167,0.0352689288,0.0005431737,5.4435017755,2.2143898664,0.02505975,0.0512017786,3555.562156970082,1272.288642222671,19.16820712132521,1.2825814934869009,0.1554038186682545,0.8481842281989901,3.550908275211742,HIGH,4.18269,0.6214556780450422,4.74189,0.6759514752121598,1.58149,976.438,617.417,0.53332,0.337226,-0.47207894881233964,6.89e-06,-5.161780778092374,0.00994496,-2.002396959328305,0.00281651,-2.550288702466227,19016200.0,7.2791237363705035,0.000213053,-3.671512346118432,1.7e-05,-4.769551078621726,1.88e-05,-4.72584215073632,693000.1096,5.8407333032967585,79744633.25,7.901701465041597,24967860.46,7.3973813284856424,-18.81554165,-47.51495173,-40.42617038,-107.7177563,3
666,GAJZOI_stripped.cif,4.8324232267,0.0282496934,0.1097545571,0.0062006304,5.0520878612,2.1707284351,0.0838527335,0.0404216908,171.061085806333,37.74730797754712,10.79153184540886,1.0330830966559106,0.09583387995041238,0.5239694986520241,2.233151224376152,HIGH,4.22431,0.6257557812940623,4.76043,0.6776461834332541,1.6231,976.091,601.373,0.5311,0.327213,-0.4851694503671255,7.1e-06,-5.1487416512809245,0.00111501,-2.952721237615512,0.000565437,-3.2476157763734252,942.253,2.9741675288559186,0.000209485,-3.678847068881231,3.04e-05,-4.517126416391246,3.29e-05,-4.482804102050026,720309.5141,5.857519151127991,16415376.97,7.215250860511049,8999552.803,6.95422092943769,-18.94982445,-40.69889119,-34.35417602,-83.74724364,3
667,GAKBAX_stripped.cif,5.3463633001,0.0034768452,0.0189295426,0.0017673723,5.3956841125,2.2194869476,0.0367355787,0.0366600707,1537.705302525404,781.6752040866181,17.03818144786192,1.231423238945607,0.2207687176586347,1.181850407315101,3.186873111960654,HIGH,4.21764,0.6250695074362286,4.75047,0.6767365797951131,1.60269,973.939,607.692,0.53028,0.330869,-0.4803439211436149,7.32e-06,-5.135488918941608,0.0109923,-1.9589114274309358,0.00365267,-2.4373895622947406,27301800.0,7.4361912808977975,0.000183802,-3.735649767246762,9.54e-06,-5.020451625295905,1.49e-05,-4.826813731587726,643971.7501,5.808866816048034,50171017.29,7.700452907066308,25954616.99,7.414214624416685,-19.01177194,-48.02822478,-41.31243881,-110.828159,3
668,GALBUS_stripped.cif,7.5872748911,1.331396132,0.0643095388,0.0161016437,9.6925533575,6.8570404802,0.120377578,0.0609400968,5.698735867365431,0.08416055009782107,5.734299450081977,0.7584803684365033,0.006413784276393112,0.0687781065674739,0.7557785281785963,HIGH,6.25208,0.7960245265026622,9.0657,0.9574013433901869,0.958332,1338.45,1396.64,0.59382,0.619639,-0.20786125561302288,2.44e-05,-4.61261017366127,6.81e-05,-4.166852888087215,0.000184649,-3.7336530400068173,2.63e-06,-5.580044251510242,0.000690845,-3.1606193812737,0.000361762,-3.4415770539964963,0.000305991,-3.514291347073382,4830678.421,6.684008127398818,7052440.93,6.8483394572687395,16163169.82,7.208526535914881,-18.29854385,-22.55736604,-24.33965471,-12.33485175,3
669,GALCAZ_stripped.cif,4.7752988586,0.8237784735,0.0710903266,0.0365985055,6.0303187133,4.1109529403,0.0913050776,0.0277394089,5.796824039733784,0.271613081996919,3.644460898120595,0.5616332949894779,0.0203490845876037,0.1112934698502982,0.7631901177362249,LOW,6.97186,0.8433486575776675,7.49366,0.8746939845312525,1.17363,1034.11,881.12,0.52044,0.443444,-0.3531612169293678,1.45e-05,-4.838631997765025,3.92e-05,-4.406713932979542,0.000110739,-3.9556994025907715,1.73e-06,-5.761953896871205,0.000532847,-3.273397475015673,0.000301274,-3.521038346400826,0.00020843,-3.68103977147246,2705574.176,6.432259445045866,4137209.009,6.616707461713127,8086239.624,6.907746606876332,-18.213955,-22.45152187,-24.35858167,-12.66353818,3
670,GALKEL_stripped.cif,2.2111778906,0.4096976041,0.0270065099,0.0203767417,2.7298620808,2.2759378351,0.0421304868,0.0159099747,5.397097440824405,0.27640557473599,1.61893657711991,0.20922983532139508,0.02224184706526273,0.05300674061064729,0.7321602590195102,LOW,4.35174,0.6386629400131023,4.9198,0.6919474481612926,1.25849,415.843,330.43,0.4577,0.363689,-0.4392698342533593,6.4e-05,-4.1938200260161125,0.000199332,-3.7004229757207794,0.00152383,-2.8170634806211217,4.25e-06,-5.371611069949688,0.000514829,-3.288336997538344,0.000282312,-3.5492706612685248,0.00023009,-3.6381022559041187,12374541.41,7.092529113318995,21140289.8,7.325110936503961,131716386.9,8.119639809111582,-26.08798484,-30.25939672,-35.06038756,-18.76098725,2
671,GAMFAE_stripped.cif,5.5914826434,0.4233090836,0.0810428037,0.0149208989,6.4784972758,3.4776190586,0.0575444077,0.0646899618,13.20898336470283,0.5034188587003734,6.267321757776327,0.7970819914990319,0.01655176832184039,0.1296800607702039,1.120869393232234,HIGH,4.20884,0.6241624162593381,7.56967,0.8790769468312563,1.14579,1268.12,1106.77,0.56508,0.49318,-0.3069945437262568,1.4e-05,-4.853871964321762,0.0001414,-3.8495505905391196,0.000445747,-3.350911571064173,34313.0,4.535458690265099,0.000347768,-3.4587103822608207,0.000135654,-3.8675673957666277,0.00012509,-3.902777407480099,1664972.447,6.2214070509265005,6560593.353,6.816943119601327,19070935.39,7.280371994815947,-19.83201937,-30.63473402,-32.86209452,-93.42036439,3
