,Target,Method,Mean R2,SD R2,Mean MAE,SD MAE,Target SD
0,CO2 loading (mol/kg),MLR,0.8337000642879862,0.03235404808171375,0.8911529654712542,0.09144803401882932,3.0043915345947423
1,CH4 loading (mol/kg),MLR,0.8099946887174021,0.03764553769415099,0.23565376140189845,0.013885781981108753,0.7259442473555415
2,SC CO2 loading (mol/kg),MLR,0.8948535077253105,0.009816668441392909,1.0723240089307453,0.06684330065520061,4.571950359172822
3,SC CH4 loading (mol/kg),MLR,0.7711156285544608,0.02392134968496579,0.6457638070998708,0.03776657698575679,1.8025077948392052
4,TSN,MLR,0.6654976697667977,0.05663322282408346,1.5643465805906325,0.12015762223182898,3.994311734858505
5,LOG10 TSN,MLR,0.6626949962888913,0.039289729599393516,0.14730706697790982,0.011453487948414482,0.34532194239506586
