,row_name,col_name,R2
458,Qst_H2S,LCD log10,0.2754756064950454
133,GSA (m2/g),DC_CO2,0.2743198883746604
140,GSA (m2/g),Qst_H2S,0.273058449559735
345,DC_CO2,DC_CH4 log10,0.2722754957434924
426,Qst_CH4,Qst_H2S,0.27060351353918194
455,Qst_CO2,P_H2S log10,0.2685297481048651
475,Qst_H2O,K0_H2S log10,0.2667467634866523
32,PLD,P_H2S log10,0.2659921678071299
120,VSA (m2/cc),DC_CH4 log10,0.2616358464169602
57,LCD,K0_H2S log10,0.26096813753973014
195,PV (cc/g),Qst_H2S,0.2569400348649196
504,LCD log10,P_CO2 log10,0.25353639618213586
132,GSA (m2/g),DC_CH4,0.2523801458517591
50,LCD,Qst_H2S,0.2504964344827774
457,Qst_H2S,PLD log10,0.24946646496806568
548,DC_CH4 log10,P_CH4 log10,0.24931639735800648
25,PLD,K0_H2S log10,0.24864027413687612
542,K0_H2O log10,DC_H2S log10,0.24735451706161027
168,VF,Qst_H2S,0.24623135014656755
479,Qst_H2O,DC_H2S log10,0.2438595804444628
149,GSA (m2/g),DC_CH4 log10,0.24239444511549693
459,Qst_H2S,PV (cc/g) log10,0.23977376055580152
355,DC_H2S,Qst_CO2,0.2396129354229894
235,K0_CH4,P_H2S log10,0.23922824008052385
558,P_CH4 log10,P_CO2 log10,0.22929537477925668
113,VSA (m2/cc),PLD log10,0.22323468095641816
63,LCD,P_CO2 log10,0.2192440798052183
313,DC_CH4,Qst_CH4,0.218833864152891
363,DC_H2S,K0_H2S log10,0.21721749449586433
340,DC_CO2,PV (cc/g) log10,0.21432715432029345
18,PLD,Qst_H2S,0.21427702390354927
182,VF,P_H2S log10,0.21159563086195965
517,K0_CH4 log10,K0_H2S log10,0.21009187835573884
103,VSA (m2/cc),DC_CH4,0.20956706096994396
493,PLD log10,P_CO2 log10,0.20868307920855997
444,Qst_CO2,LCD log10,0.2062373616317709
209,PV (cc/g),P_H2S log10,0.20092135053175952
134,GSA (m2/g),DC_H2S,0.19812109032293534
485,PLD log10,K0_CH4 log10,0.1976882846165321
515,PV (cc/g) log10,P_H2S log10,0.19508269440002796
187,PV (cc/g),DC_CH4,0.19338794939836743
177,VF,DC_CH4 log10,0.19312851603604694
84,Density (g/cc),LCD log10,0.19104522004330138
497,LCD log10,K0_CO2 log10,0.1892306997200661
33,LCD,Density (g/cc),0.18759530893162585
189,PV (cc/g),DC_H2S,0.18687995229743415
49,LCD,Qst_CO2,0.18486129041594965
327,DC_CH4,P_CH4 log10,0.18427345929958702
486,PLD log10,K0_CO2 log10,0.18075932804969702
111,VSA (m2/cc),Qst_H2S,0.17813459460910075
31,PLD,P_CO2 log10,0.17776899382973715
147,GSA (m2/g),K0_H2S log10,0.17675382526538166
154,GSA (m2/g),P_H2S log10,0.17650483766156835
443,Qst_CO2,PLD log10,0.17619945318308278
202,PV (cc/g),K0_H2S log10,0.1747472417206397
23,PLD,K0_CH4 log10,0.17341827423670447
175,VF,K0_H2S log10,0.17265008311006194
362,DC_H2S,K0_CO2 log10,0.16866920891699025
160,VF,DC_CH4,0.16684138481338862
194,PV (cc/g),Qst_CO2,0.16531900655263826
56,LCD,K0_CO2 log10,0.1648391589214164
2,PLD,VSA (m2/cc),0.1644480038295064
489,PLD log10,DC_CH4 log10,0.16267883157978896
338,DC_CO2,PLD log10,0.16120719018948004
555,DC_H2S log10,P_CH4 log10,0.1609615658280684
204,PV (cc/g),DC_CH4 log10,0.15965074889691472
43,LCD,DC_CO2,0.15824915621141283
139,GSA (m2/g),Qst_CO2,0.15753508164366029
445,Qst_CO2,PV (cc/g) log10,0.15646962722071606
161,VF,DC_CO2,0.15562768308043612
11,PLD,DC_CO2,0.15495559648053953
387,P_CH4,P_CH4 log10,0.1530679306349053
24,PLD,K0_CO2 log10,0.1524473558325202
17,PLD,Qst_CO2,0.15055005923834222
546,DC_CH4 log10,DC_CO2 log10,0.14851919655653148
228,K0_CH4,K0_H2S log10,0.14834271666118412
150,GSA (m2/g),DC_CO2 log10,0.14643145035168154
151,GSA (m2/g),DC_H2S log10,0.14538173371179366
496,LCD log10,K0_CH4 log10,0.14391165746410853
334,DC_CO2,Qst_CH4,0.1430384235566058
508,PV (cc/g) log10,K0_H2S log10,0.14150202728945477
205,PV (cc/g),DC_CO2 log10,0.14093469675485867
523,K0_CH4 log10,P_CO2 log10,0.14029638858488133
339,DC_CO2,LCD log10,0.1387264623059427
368,DC_H2S,P_CH4 log10,0.13777133354480325
464,Qst_H2S,DC_CH4 log10,0.1372694366216919
27,PLD,DC_CH4 log10,0.13660010435336087
553,DC_CO2 log10,P_CO2 log10,0.13382429694218803
511,PV (cc/g) log10,DC_CO2 log10,0.13307529222501874
510,PV (cc/g) log10,DC_CH4 log10,0.13187292709407641
357,DC_H2S,Qst_H2O,0.130506397400497
319,DC_CH4,PV (cc/g) log10,0.12860699482504084
439,Qst_CH4,P_CO2 log10,0.12843533423199427
364,DC_H2S,K0_H2O log10,0.12777077987615662
438,Qst_CH4,P_CH4 log10,0.12424562431071874
55,LCD,K0_CH4 log10,0.12213464575633148
206,PV (cc/g),DC_H2S log10,0.12195782478228775
208,PV (cc/g),P_CO2 log10,0.12121028247591303
325,DC_CH4,DC_CO2 log10,0.11846633289566386
74,Density (g/cc),DC_CO2,0.11799922753515396
167,VF,Qst_CO2,0.1156943923244386
360,DC_H2S,PV (cc/g) log10,0.11458516439692025
351,DC_H2S,P_CH4,0.11437118079666189
104,VSA (m2/cc),DC_CO2,0.10953802566062536
514,PV (cc/g) log10,P_CO2 log10,0.10918935889656624
354,DC_H2S,Qst_CH4,0.10914008752614705
317,DC_CH4,PLD log10,0.10837132558774042
425,Qst_CH4,Qst_CO2,0.10771897671823505
118,VSA (m2/cc),K0_H2S log10,0.10579350483580408
10,PLD,DC_CH4,0.10425855407535392
432,Qst_CH4,K0_CO2 log10,0.101289683470301
315,DC_CH4,Qst_H2S,0.1008991824601708
512,PV (cc/g) log10,DC_H2S log10,0.1008755545675092
234,K0_CH4,P_CO2 log10,0.10063246878541252
501,LCD log10,DC_CO2 log10,0.10000319960030478
490,PLD log10,DC_CO2 log10,0.09952404267885533
223,K0_CH4,PLD log10,0.09852436198269655
60,LCD,DC_CO2 log10,0.09850407164480281
500,LCD log10,DC_CH4 log10,0.09810333090651584
59,LCD,DC_CH4 log10,0.09752726565883384
162,VF,DC_H2S,0.09679275162627668
81,Density (g/cc),Qst_H2S,0.09630451089035842
201,PV (cc/g),K0_CO2 log10,0.09624840682945138
125,VSA (m2/cc),P_H2S log10,0.09452292127184778
224,K0_CH4,LCD log10,0.09446601271599862
437,Qst_CH4,DC_H2S log10,0.0930213218312854
153,GSA (m2/g),P_CO2 log10,0.09260562196200532
237,K0_CO2,K0_H2O,0.09229434479873384
289,K0_H2O,P_CO2,0.09227200012138792
358,DC_H2S,PLD log10,0.09137391832209753
122,VSA (m2/cc),DC_H2S log10,0.0912707600729422
534,K0_H2S log10,DC_CH4 log10,0.0903798043451117
