MOF Name,PLD (log10),LCD (log10),Density (g/cc),VSA (m2/cc),VF ,DC_CH4 (log10),DC_CO2 (log10),DC_H2S (log10),Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
AGUSUR_stripped.cif,0.620621111,0.689050337,1.26317,314.257,0.43354,-3.23E+00,-3.83E+00,-3.96E+00,-15.5553202,-27.77670397,-38.8242861,-58.44024928
AGUVAA_stripped.cif,0.625172466,0.785551198,0.975981,1975.42,0.6351,-3.20E+00,-3.53E+00,-3.65E+00,-14.68343279,-23.810046,-23.35070532,-47.15633949
AGUXOR_stripped.cif,0.583708742,0.75269825,1.54136,851.112,0.5132,-3.74E+00,-4.94E+00,-4.91E+00,-16.37556806,-46.86941105,-47.68099354,-97.81897164
AHAYIT_stripped.cif,0.660597992,0.832675573,1.15248,984.395,0.52758,-3.80E+00,-3.96E+00,-4.05E+00,-22.11767657,-30.17122352,-33.90029289,-24.91873661
AHAYOZ_stripped.cif,0.637344607,0.846629018,1.14439,1016.92,0.53324,-3.78E+00,-4.01E+00,-4.13E+00,-21.78200734,-29.73960473,-33.36748022,-24.47094441
AHAYUF_stripped.cif,0.691064686,0.8083143,1.22516,1085.66,0.5234,-3.51E+00,-3.67E+00,-3.75E+00,-18.08732998,-24.12571429,-26.26511943,-18.22163375
AHEBAS_stripped.cif,0.716888569,0.876284828,1.05684,1581.14,0.62004,-3.44E+00,-3.59E+00,-3.66E+00,-18.4108845,-25.86484431,-27.64515615,-34.67988439
AHETAK_stripped.cif,0.811900605,0.988926213,0.987316,1798.21,0.64102,-3.21E+00,-3.35E+00,-3.51E+00,-14.46244289,-16.85210899,-20.35011261,-10.9926331
AHOLAM_stripped.cif,0.853658673,0.997751493,0.963344,1436.19,0.64336,-3.76E+00,-4.40E+00,-4.06E+00,-20.75715774,-34.70830603,-29.6867494,-42.08392586
AHORAR_stripped.cif,0.742216717,0.899999325,0.827449,1683.08,0.64082,-3.45E+00,-3.63E+00,-3.97E+00,-19.55558851,-23.59028752,-26.93073348,-30.35205047
AHORUL_stripped.cif,0.839824214,0.844731837,1.59742,227.741,0.37592,-3.38E+00,-3.67E+00,-3.59E+00,-16.13311138,-19.89035469,-21.13819598,-12.80866544
AHOZIG_stripped.cif,0.632497784,0.713384687,1.14892,909.51,0.54726,-3.87E+00,-4.90E+00,-4.12E+00,-23.82003348,-44.12782437,-36.58014198,-65.64202074
AHOZII_stripped.cif,0.787984429,0.858132791,0.951704,1416.42,0.6178,-3.34E+00,-3.87E+00,-3.95E+00,-17.46748377,-28.08993819,-31.15402225,-25.1653702
AJAGIC_stripped.cif,0.588486839,0.729602105,2.4391,603.694,0.45436,-3.66E+00,-3.62E+00,-3.95E+00,-20.33822664,-26.21248013,-30.06268638,-36.83741817
AJAGOI_stripped.cif,0.847608438,0.865362223,2.12665,838.89,0.4993,-3.34E+00,-3.73E+00,-3.82E+00,-16.25701587,-22.81263358,-25.83368866,-35.25890388
AJAKON_stripped.cif,0.635788249,0.722345942,1.36723,781.035,0.51092,-3.56E+00,-4.20E+00,-4.14E+00,-22.06820569,-37.75379269,-35.91940941,-64.84774384
AJAYIT_stripped.cif,0.689553026,0.852852522,2.99585,695.5,0.42326,-3.44E+00,-4.07E+00,-3.73E+00,-20.81107551,-24.24725034,-29.523907,-26.51806972
AJEMAF_stripped.cif,0.641504847,0.812605232,0.995504,1247.21,0.58058,-3.65E+00,-4.48E+00,-4.83E+00,-23.10141312,-42.67267917,-40.85402132,-66.03209153
AJEMEJ_stripped.cif,0.639392847,0.808594442,0.990385,1621.14,0.6123,-3.67E+00,-4.00E+00,-4.49E+00,-21.54520668,-36.40795859,-39.89794693,-69.29527431
AJENOU_stripped.cif,0.639414765,0.794870587,0.888121,1556.57,0.6032,-3.71E+00,-4.07E+00,-4.94E+00,-21.48843258,-40.61376444,-42.77015646,-85.56341563
AJESAJ_stripped.cif,0.688257821,0.697640768,0.848967,1999.09,0.6722,-2.84E+00,-3.44E+00,-3.61E+00,-13.50422841,-29.28194913,-24.75265995,-57.37888687
AJESAJ01_stripped.cif,0.691253937,0.700147949,0.842991,1967.35,0.67486,-2.87E+00,-3.54E+00,-3.64E+00,-13.38441184,-29.05667532,-24.60399956,-57.03242262
AJESAJ02_stripped.cif,0.690576143,0.699768372,0.841755,2051.63,0.67376,-2.82E+00,-3.43E+00,-3.66E+00,-13.3728414,-29.16056779,-24.63495496,-56.97051231
AJESAJ03_stripped.cif,0.645470412,0.719437361,0.864449,1590.76,0.66394,-2.83E+00,-3.68E+00,-3.75E+00,-13.461094,-29.50563061,-26.12776717,-58.15823949
AJIFAB_stripped.cif,0.6447418,0.756385803,1.04815,1899.71,0.69046,-2.82E+00,-3.81E+00,-3.87E+00,-13.55721373,-31.58007353,-29.56000233,-58.7260502
AJIHOQ_stripped.cif,0.824438257,0.925988795,1.21604,1123.14,0.57824,-3.65E+00,-3.81E+00,-3.89E+00,-22.17497209,-27.74263359,-29.55698067,-38.18000226
AJILIP_stripped.cif,0.711204702,0.773073735,1.07055,2067.39,0.71636,-2.91E+00,-5.31E+00,-4.41E+00,-8.617888502,-48.50153933,-35.90311272,-94.35391137
AJOHUE_stripped.cif,0.880628978,0.896691527,0.95032,1718,0.71796,-3.13E+00,-3.34E+00,-3.74E+00,-16.34346648,-22.05841619,-25.53018047,-19.53531216
AJOTUQ_stripped.cif,0.592080113,0.707476495,1.55093,1207.94,0.54994,-3.29E+00,-3.84E+00,-3.91E+00,-18.95959782,-37.04196674,-36.16650708,-66.17023008
AJOVEB_stripped.cif,0.686115877,0.711682404,1.95653,516.36,0.42894,-3.41E+00,-4.68E+00,-5.31E+00,-19.95085486,-42.39746634,-46.7326832,-70.95640857
AKAXIU_stripped.cif,0.96796382,0.982021442,1.34204,1092.26,0.5878,-3.06E+00,-3.44E+00,-3.45E+00,-14.25995682,-20.49244349,-22.63819224,-47.35628769
AKAXOA_stripped.cif,0.990658463,1.007965724,1.3207,1101.24,0.58942,-3.04E+00,-3.39E+00,-3.44E+00,-14.01347996,-21.04515879,-23.04383356,-51.59365416
AKAYAN_stripped.cif,0.891058857,0.908427109,1.42104,1104.86,0.5586,-3.14E+00,-3.51E+00,-3.44E+00,-15.54355888,-22.02458384,-24.44362704,-47.82432006
AKAYER_stripped.cif,0.971796134,0.981959424,1.31308,1105.75,0.59476,-3.02E+00,-3.52E+00,-3.55E+00,-13.68850219,-21.39778321,-22.76287928,-51.99973912
AKAYIV_stripped.cif,0.963773665,0.976925141,1.14308,1070.2,0.5582,-2.89E+00,-3.24E+00,-3.26E+00,-14.72622407,-19.14152995,-20.69297416,-14.17386242
AKEQUE_stripped.cif,0.791326362,0.830507191,1.17557,861.689,0.50776,-3.33E+00,-3.60E+00,-3.60E+00,-17.94319705,-22.48598515,-25.2064883,-18.2369794
AKIVEX_stripped.cif,0.619169534,0.672914856,1.05842,842.371,0.55254,-3.53E+00,-3.74E+00,-3.77E+00,-21.96581092,-27.68276217,-30.01380498,-78.51546206
AKUKUO_stripped.cif,0.641953751,0.703112464,1.30477,805.696,0.50342,-3.29E+00,-3.61E+00,-3.80E+00,-22.50306028,-27.70258421,-31.20266966,-26.65012323
ALAHUS_stripped.cif,0.736767685,0.856197022,1.36604,1263.37,0.57282,-3.62E+00,-5.08E+00,-5.02E+00,-16.64714594,-52.80828103,-48.38130839,-116.5512973
ALEJAE_stripped.cif,1.163418416,1.298096221,0.314608,1444.2,0.8979,-2.60E+00,-3.18E+00,-3.23E+00,-9.918635741,-18.00914164,-17.87658059,-34.58860438
ALEJEI_stripped.cif,0.853591754,1.25684013,0.600782,2132.54,0.78558,-2.90E+00,-3.37E+00,-3.28E+00,-13.59196341,-19.66620398,-20.31973116,-28.21218616
ALEJIM_stripped.cif,0.851859827,1.26029015,0.592075,2116.07,0.7878,-2.95E+00,-3.46E+00,-3.29E+00,-13.28834303,-24.13068185,-23.63289551,-54.08562153
ALEQIT_stripped.cif,0.597982427,0.762236544,1.90553,514.106,0.42634,-3.67E+00,-5.51E+00,-4.90E+00,-21.63788483,-52.48215635,-45.7688716,-105.8871692
ALICEE_stripped.cif,0.948244693,0.949013129,1.69743,1117.84,0.5812,-2.82E+00,-3.38E+00,-3.13E+00,-10.51971044,-17.41858756,-14.72099329,-45.53833791
ALICII_stripped.cif,0.97524978,0.976102264,1.508,1153.63,0.62204,-2.83E+00,-3.76E+00,-3.27E+00,-9.517020937,-22.6292785,-14.55548173,-57.68278396
ALIJEL_stripped.cif,0.582419066,0.642557503,0.722192,613.426,0.5911,-3.72E+00,-4.25E+00,-3.86E+00,-19.69165907,-37.30557875,-32.48233269,-46.39096073
ALIWOH_stripped.cif,0.59902892,0.710289186,2.09918,504.595,0.49276,-3.64E+00,-3.86E+00,-3.91E+00,-21.8124318,-29.94414312,-32.10187926,-32.7300454
ALIXOJ_stripped.cif,0.700682954,0.895439122,0.979833,1780.96,0.63848,-3.21E+00,-4.28E+00,-3.79E+00,-15.78857203,-42.92769968,-35.20690495,-57.23117497
ALIXUP_stripped.cif,0.761121617,0.804925496,1.33865,1057.06,0.56334,-3.55E+00,-3.97E+00,-4.27E+00,-13.37704273,-25.62225108,-32.66851822,-55.94683948
ALOKER_stripped.cif,0.71462813,0.746543906,1.31064,2742.47,0.73766,-2.75E+00,-3.89E+00,-3.87E+00,-8.470402783,-25.88643177,-26.5309716,-70.24657479
ALOLES_stripped.cif,0.625333033,0.686571925,2.14004,415.515,0.4338,-3.48E+00,-4.59E+00,-4.25E+00,-18.03452883,-39.41957495,-36.17467717,-77.18121552
ALOLOD_stripped.cif,0.701753578,0.896049224,0.922374,1579.71,0.61778,-3.31E+00,-3.65E+00,-3.71E+00,-17.22154413,-28.06705109,-27.05698216,-21.23491523
ALONOE_stripped.cif,0.582526969,0.701454,1.49996,355.395,0.40518,-3.32E+00,-3.86E+00,-3.58E+00,-26.1417421,-32.88215606,-35.70934442,-23.77114409
ALUKIC_stripped.cif,0.830321081,0.931668356,0.566916,2925.35,0.79046,-2.80E+00,-4.22E+00,-3.49E+00,-11.49256253,-41.44494543,-26.2412499,-99.21076584
ALUKOI_stripped.cif,0.829813689,0.931929033,0.579935,2933.33,0.7899,-2.83E+00,-4.08E+00,-3.21E+00,-11.49837392,-35.16301591,-20.7884843,-79.05308775
ALUKUO_stripped.cif,0.830766327,0.931934113,0.582414,2935.33,0.78998,-2.74E+00,-4.09E+00,-3.20E+00,-11.5173705,-35.23189498,-21.34864035,-84.0989937
ALULAV_stripped.cif,0.829074019,0.931019286,0.590912,2940.91,0.78928,-2.80E+00,-3.32E+00,-3.12E+00,-11.56441006,-24.57089717,-17.61819965,-60.4617092
