MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ACEMAY_stripped.cif,4.79292,6.61456,1.33807,2741.42,2048.79,0.74074,0.553588,2.03E-06,0.00150537,0.000542926,421.244,0.000970978,2.75E-05,0.0001236,787833.4592,16549958.65,26803505.91,-11.90110105,-44.35039399,-34.61072688,-76.456742
ACIBEU_stripped.cif,4.90175,5.78785,1.24804,1640.57,1314.52,0.5775,0.462726,1.24E-05,0.000146189,0.000206993,0.0765399,0.001258101,0.000323198,0.000327295,5790984.25,17602225.66,25239358.88,-16.60765137,-28.52633427,-26.56421681,-54.34195087
ACIBOE_stripped.cif,7.04151,8.26184,1.10094,1759.22,1597.92,0.64228,0.583391,9.36E-06,0.000113233,0.000183925,0.0849097,0.000714959,0.000111994,0.000150583,2200052.138,4167599.917,9101948.03,-15.81357142,-30.13717355,-29.01777959,-56.58259035
ACODON_stripped.cif,4.65534,7.12973,1.16485,1418.79,1218,0.59376,0.50973,2.06E-05,5.44E-05,0.00022623,3.61E-06,0.000325027,0.000233091,0.000144268,2326321.078,4405910.52,11348654.49,-19.45475307,-23.74455407,-27.24767801,-15.30109404
ACOFUU_stripped.cif,6.66394,7.99495,0.873813,1990.35,2277.77,0.69788,0.798661,5.49E-06,1.32E-05,3.61E-05,7.89E-06,0.000929047,0.000579937,0.000474385,1330018.815,1991584.975,4470505.688,-13.15899746,-17.32245691,-20.48775065,-19.780906
ACOGEF_stripped.cif,3.94888,5.22428,1.25952,978.891,777.195,0.55376,0.439661,4.33E-05,0.000184093,0.000874183,9.40E-06,0.000185173,0.000230482,0.00013204,3014909.997,15952692.73,43397740.27,-22.6259913,-28.22445449,-31.60726348,-20.05817136
ACOHUV_stripped.cif,4.13481,4.70434,0.805379,1650.13,2048.89,0.67406,0.836948,1.51E-05,0.000385003,0.000874282,0.0646799,0.000589974,9.80E-05,0.000196207,2140214.427,9072438.89,41240295.64,-16.82924307,-30.16215597,-30.70682337,-48.29145174
ACOLUB_stripped.cif,4.98474,7.43431,1.08434,1306.47,1204.85,0.5899,0.544018,1.66E-05,6.17E-05,0.000195824,8.35E-05,0.000255925,0.000218729,0.000149039,1375262.58,4368108.701,9446852.126,-19.28309501,-25.4373863,-28.09951429,-36.52772547
ACONOY_stripped.cif,5.06553,6.73437,1.55586,1224.62,787.102,0.56846,0.365367,7.34E-06,2.29E-05,0.000183976,0.00003524,0.00030931,0.000260045,0.000113139,1054834.705,2764336.729,9667171.25,-17.60281451,-22.57007804,-29.58427285,-27.47355694
ACOQEP_stripped.cif,4.00349,4.89609,1.50065,651.372,434.059,0.5448,0.363042,6.65E-06,0.00297395,0.000116778,65243400,0.000253455,2.74E-05,0.000196625,754477.8618,36479660.74,10285722.77,-19.05126061,-53.64922214,-28.29562323,-115.9752998
ACUFEK_stripped.cif,7.61444,13.16839,0.841175,2081.64,2474.68,0.76578,0.910369,6.57E-06,1.36E-05,2.80E-05,2.78E-06,0.000746696,0.000463944,0.000403959,1231838.559,1582876.445,2842413.583,-12.61792834,-16.28238325,-18.40756647,-10.34029863
ACUTOI_stripped.cif,4.53828,5.19017,1.71994,652.373,379.299,0.40616,0.236148,2.41E-05,0.000112556,0.00103693,0.000119002,0.000378507,0.000129763,0.000175076,4687942.417,7498719.05,93206404.52,-22.60224237,-29.90071483,-34.74488418,-37.96705026
ADASAB_stripped.cif,13.49015,22.83065,0.343941,1654.07,4809.16,0.8704,2.53067,4.40E-06,8.61E-06,1.75E-05,0.00193279,0.001891476,0.001070719,0.000530279,855104.4658,947029.9214,954961.5952,-8.759419326,-12.8555114,-16.75761236,-43.97769599
ADASEF_stripped.cif,9.92987,21.61885,0.467309,1892.44,4049.65,0.83566,1.78824,6.67E-06,1.46E-05,4.24E-05,0.00513947,0.000838429,0.000348109,0.0002995,779588.8867,709980.1724,1771833.875,-13.36867784,-17.35466019,-21.95783169,-50.73639889
ADASIJ_stripped.cif,6.61235,18.24437,0.629248,2097.43,3333.23,0.77242,1.22753,8.87E-06,2.55E-05,4.31E-05,2.71E-05,0.000922458,0.00043491,0.000630528,1536297.601,2081613.162,5106652.598,-13.49404997,-18.92192767,-19.12019278,-26.4333466
ADASOP_stripped.cif,6.68612,18.03956,0.63164,2116.69,3351.1,0.77226,1.22263,1.01E-05,0.000115912,0.00012888,0.0641159,0.001141709,0.000229966,0.000511702,2168807.861,5025934.411,12434483.68,-14.10586841,-28.7001285,-24.31033647,-50.95151014
ADATAC_stripped.cif,10.27339,26.34279,0.337271,1730.68,5131.43,0.87048,2.58095,7.12E-06,3.68E-05,0.000049645,0.114125,0.00159479,0.000412973,0.000609001,1143372.394,1530077.632,3043881.647,-11.47776001,-21.88124164,-21.18074604,-51.40084408
ADATIK_stripped.cif,12.17426,24.53838,0.377573,1719.8,4554.89,0.86924,2.30218,5.78E-06,1.61E-05,2.91E-05,0.00675775,0.001310294,0.000670274,0.000703552,853756.0815,1213698.869,2304895.943,-11.26592188,-16.94865209,-18.03384533,-44.36458256
ADATUW_stripped.cif,8.86044,10.34629,0.788541,1671.53,2119.78,0.6547,0.830267,6.12E-06,3.20E-05,9.41E-05,0.0001279,0.000620932,0.000174667,0.000195962,894246.8195,1313682.72,4342647.123,-14.81097902,-24.31976453,-27.01385698,-35.20371061
ADAXIO_stripped.cif,5.00855,5.72682,1.28062,930.522,726.621,0.49644,0.387657,0.000035665,0.000105954,0.000422176,2.89E-06,0.000223406,8.98E-05,0.000157277,3045884.176,3637934.654,25382525.13,-21.42485551,-25.86621032,-28.37423849,-15.14266821
ADIPUA_stripped.cif,3.91596,4.36399,1.22944,592.133,481.626,0.48984,0.398424,0.000150706,0.000820919,0.00385528,7.05E-06,0.000207986,0.000259755,0.000107611,11503412.32,78257787.51,152255681.1,-27.48411444,-34.36590317,-36.51571718,-18.54527534
ADIQEL_stripped.cif,3.91364,4.43355,1.23763,470.121,379.855,0.48232,0.389712,0.0002276,0.000925476,0.00762454,8.99E-06,8.00E-05,0.000237759,2.64E-05,6730965.309,81291904.13,74373397.93,-29.07331255,-35.66615785,-38.98994706,-19.80859806
