MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
HALHEJ_stripped.cif,8.62529,10.0308,0.648888,2038.04,3140.82,0.7508,1.15706,9.22E-06,2.75E-05,5.41E-05,0.000153476,0.000595189,0.000398298,0.000362239,1062399.555,2117855.796,3796428.085,-14.53088003,-19.81457654,-20.99571309,-36.24994771
HALQUJ_stripped.cif,4.1117,5.83271,0.775057,1604.79,2070.55,0.66604,0.859344,1.75E-05,6.58E-05,0.00017713,7.91E-06,0.000366903,0.000344466,0.000231362,1483514.527,5243222.258,9481409.25,-17.46194752,-23.1817662,-24.82724803,-16.48698765
HALSIZ_stripped.cif,5.1635,5.79609,1.37174,595.651,434.229,0.44582,0.325002,8.58E-06,1.96E-05,0.000107707,0.000106889,0.00036942,0.000206915,0.000145017,1297150.653,1658890.502,6395710.457,-19.20622476,-23.16632965,-27.09976852,-45.19884024
HALTEW_stripped.cif,4.68302,6.37457,1.13818,1340.74,1177.97,0.56894,0.499868,2.06E-05,6.70E-05,0.00022375,3.90E-06,0.000738145,0.000257539,0.000270001,5175326.495,5860939.739,20525535.75,-19.16578003,-24.75216626,-26.77877661,-16.32094797
HALVAU_stripped.cif,5.45213,7.27336,0.959475,1554.32,1619.97,0.63434,0.661132,1.02E-05,0.000205531,0.000300821,331.695,0.000472698,0.000116591,0.000139081,1379567.182,6863277.562,11982993.94,-16.31899779,-30.94934615,-30.50785623,-76.35126422
HAMJOW_stripped.cif,5.65045,5.9814,0.916107,1724.82,1882.77,0.64514,0.704219,2.26E-05,8.29E-05,0.000173956,4.27E-06,0.000897035,0.000456049,0.00044522,5551869.836,10339030.17,21179470.96,-17.88987926,-23.13914444,-23.92080759,-14.6788001
HAMLIT_stripped.cif,4.74827,7.60143,1.03116,1523.87,1477.82,0.60814,0.589761,1.97E-05,0.000231323,0.00053566,0.27523,0.000454168,0.000135143,0.000105122,2758907.018,9622595.258,17332657.81,-19.48556912,-32.34850535,-32.31264608,-62.09094434
HAMREU_stripped.cif,5.08597,7.3712,2.59922,726.076,279.343,0.4471,0.172013,1.23E-05,2.42E-05,0.000185226,6.99E-06,0.000354333,0.000106664,0.000138539,3389210.68,1999113.175,19910002.02,-19.97895997,-23.32592771,-29.42030943,-25.26321209
HAMRIY_stripped.cif,5.0191,7.12952,2.96338,684.36,230.939,0.42578,0.143681,1.47E-05,2.94E-05,0.000216978,7.77E-06,0.000381835,9.72E-05,0.000179383,4949385.826,2523227.695,34430120.95,-20.78200584,-24.15832549,-29.51931992,-26.62074152
HANKUE_stripped.cif,6.93986,11.04769,1.04801,1793.87,1711.69,0.69846,0.666462,1.26E-05,0.000325631,5.43838,70919700,0.000387111,9.34E-05,4.64E-05,1530940.126,9515898.375,78971177865,-21.16957114,-37.02800444,-67.97049021,-105.309985
HANWAW_stripped.cif,4.96034,11.32674,0.840493,1832.36,2180.1,0.69538,0.827348,1.75E-05,6.49E-05,0.00017121,5.07E-05,0.000219808,0.00016287,0.000153667,966834.7666,2653942.435,6600857.334,-18.41281765,-23.95262101,-25.99114258,-29.43715733
HAPGIR_stripped.cif,5.53694,6.12679,1.24903,1245.72,997.352,0.54708,0.438005,1.55E-05,0.00847911,0.00264779,818022,0.000555038,9.25E-06,1.92E-05,3197416.956,29253864.47,18989324.27,-18.15589049,-49.30214124,-41.13596373,-102.9363743
HAPHUD_stripped.cif,6.8337,8.47502,0.827108,1721.25,2081.05,0.66138,0.799629,1.24E-05,2.98E-05,9.37E-05,4.11E-06,0.000348463,0.000228316,0.00017379,1063511.279,1681806.279,4020633.579,-16.32052578,-20.31762232,-23.33547336,-14.22693183
HAPNAP_stripped.cif,3.91737,5.52867,1.87575,1182.23,630.272,0.567,0.302279,0.000020413,0.000485646,0.00224301,0.000554334,0.000217056,0.000128634,0.000107649,2480892.707,34978980.61,135198233,-22.08792015,-34.97934455,-39.80472135,-37.08125545
HAPZUW_stripped.cif,7.73155,8.35046,1.33372,1138.81,853.86,0.53838,0.403667,6.05E-06,1.27E-05,0.000040727,2.02E-06,0.000523284,0.000234416,0.000219381,1260502.453,1189608.516,3557145.697,-16.2923824,-20.19971236,-22.63240413,-17.45968334
HAQJIV_stripped.cif,6.16067,10.92153,0.815808,2180.29,2672.55,0.7359,0.90205,1.86E-05,7.86E-05,0.000199394,4.42E-05,0.000299775,0.000121416,0.000179964,1359172.456,2323884.285,8738588.25,-18.03555978,-25.0581814,-26.93059904,-26.60615676
HAQRID_stripped.cif,7.3788,8.34208,1.08273,1326.76,1225.38,0.60588,0.559584,1.15E-05,0.000114979,0.000360387,0.695004,0.000921567,0.000214142,0.0001095,3438954.197,7957847.558,12754314.76,-16.52101576,-30.95337226,-33.67511925,-63.10921647
HAQROJ_stripped.cif,7.47702,8.35178,0.977066,1593.76,1631.17,0.643,0.658093,0.000010351,0.000032493,7.24E-05,4.24E-06,0.001135006,0.000500757,0.000420052,3426569.121,4745653.787,8872073.727,-15.51173229,-20.74859461,-22.48673336,-16.28839091
HASKIX_stripped.cif,4.31227,5.29998,1.49082,666.17,446.847,0.47974,0.321796,4.24E-05,8.88E-05,0.000922468,3.14E-06,0.000197969,0.000122731,7.40E-05,3732304.97,4850023.917,30366132.68,-24.79434378,-27.8997584,-34.91170165,-18.89284973
HASSUR_stripped.cif,5.33314,7.03241,1.0022,1849.21,1845.14,0.6341,0.632706,2.37E-05,8.21E-05,0.000446658,2.36E-05,0.000477344,0.000389381,0.000277013,3388661.423,9566793.009,37015650.42,-18.81686851,-23.60789175,-28.91141357,-21.35379176
HATGUF_stripped.cif,6.66441,8.40819,1.22173,1137.2,930.815,0.57724,0.472478,0.00003518,0.000150165,0.000458254,0.00027562,0.000242496,0.000158656,0.00012572,3111223.014,8688739.613,21010646.41,-22.30601427,-27.81754656,-29.71180833,-38.36472453
HATGUF01_stripped.cif,6.72964,8.43789,1.22192,1128.61,923.639,0.57528,0.470801,3.58E-05,0.000154452,0.000484865,0.000276685,0.000228521,0.000134257,8.75E-05,2984965.556,7563582.981,15466693.75,-22.55495283,-28.0725601,-30.06422235,-38.56339084
HAVXAF_stripped.cif,4.10528,5.6012,2.51186,846.828,337.131,0.47508,0.189135,5.31E-06,4.77E-05,0.000116157,0.0606342,0.000132742,7.85E-05,5.70E-05,528620.2264,2806354.236,4960299.3,-19.82529151,-31.6190588,-30.94863771,-58.16661598
HAWDAN_stripped.cif,4.16041,5.84779,0.957068,1370.06,1431.52,0.56368,0.588966,0.000025287,0.000649956,0.000353475,0.621803,0.000611581,5.13E-05,0.000224895,4418237.856,9518898.667,22710996.56,-20.30193378,-38.09572024,-28.83563422,-63.95597609
HAWYUB_stripped.cif,5.69956,6.04733,1.50744,942.702,625.366,0.4951,0.328438,2.95E-05,8.33E-05,0.000302875,1.89E-06,0.001018098,0.00052104,0.000491107,13525484.93,19529710.8,66932191.41,-20.92536612,-24.80214466,-27.15967969,-13.83405318
HAXSUW_stripped.cif,4.62375,4.74983,1.54435,414.592,268.457,0.44806,0.290128,1.01E-05,3.17E-05,0.000171678,2.72E-06,0.001990484,0.000331311,0.000832662,9232656.877,4838813.716,65899852.64,-21.06338101,-26.53821633,-29.51399845,-18.95506364
HAYTAE_stripped.cif,3.84109,4.28431,1.60601,666.226,414.832,0.55562,0.345963,2.48E-06,0.00262265,0.000216022,328089,0.000379079,1.46E-05,4.53E-05,450200.8187,18333907.43,4691539.019,-16.17170001,-46.66516297,-34.82095095,-103.1669181
HAYVOU_stripped.cif,4.98113,6.53597,0.909638,1833.38,2015.5,0.64184,0.705599,9.99E-06,0.000720422,0.00110772,3491.28,0.000772448,0.000144958,0.000122894,2095982.716,28356615.32,36964406.92,-15.99726493,-34.29069427,-33.49491876,-80.16489106
HAYYOY_stripped.cif,4.66165,8.06358,2.80636,1237.81,441.073,0.5286,0.188358,1.23E-05,0.000050076,0.00016339,5.94E-06,0.000147126,9.06E-05,0.000115844,1510272.333,3801250.391,15856173.15,-19.21311316,-25.91658481,-27.76993199,-20.28897256
HAYYUE_stripped.cif,9.98527,11.02145,1.97723,1484.51,750.801,0.63892,0.323139,5.00E-06,7.59E-05,8.12E-05,0.144494,0.001033284,0.000278517,0.000410624,3051515.535,12471981.53,19690326.05,-13.42537024,-26.97796723,-24.83228041,-55.79781644
HAYZAL_stripped.cif,18.55228,19.18041,1.83796,1345,731.786,0.7813,0.42509,8.09E-06,0.000257868,0.000238023,36.257,0.00104828,0.000268136,0.000245024,4651334.583,37935320.48,31997718.32,-13.68289208,-31.63620243,-29.60879652,-70.64337959
HAYZEP_stripped.cif,13.75819,15.55613,2.52019,1678.78,666.133,0.73906,0.293256,5.72E-06,1.44E-05,3.50E-05,2.69E-06,0.000502055,0.000316285,0.000203653,2159843.807,3435654.872,5355147.686,-14.18813775,-19.00073778,-21.50520592,-13.20829186
HAZBIW_stripped.cif,5.99473,6.21765,1.1602,971.233,837.124,0.5341,0.460351,8.13E-06,0.00076237,0.0205418,1272.02,0.000328305,2.26E-05,1.92E-06,924871.3955,5954591.433,13653950.49,-17.38195417,-37.19224741,-49.22583052,-82.81236919
HAZKAU_stripped.cif,4.18412,4.75251,1.27636,870.055,681.67,0.52484,0.411201,3.35E-06,0.000513576,0.000457768,0.0642013,0.000556649,1.36E-05,0.000143806,709454.0923,2653855.108,25081431.76,-16.09590818,-36.0138615,-32.60373506,-51.2115032
HAZROP_stripped.cif,5.09109,5.4163,2.3264,2053.08,882.515,0.6812,0.292813,6.47E-07,0.000027849,0.000140961,0.060555,0.001086427,6.87E-05,0.000768586,488497.0635,1329181.619,75236945.24,-11.06949193,-29.86031286,-29.79825986,-50.7407181
HAZSIL_stripped.cif,4.67504,7.68282,1.19852,1806.66,1507.41,0.6335,0.52857,8.27E-06,5.92E-05,6.89E-05,0.000674732,0.000519637,0.000157462,0.000295592,1537440.544,3332822.386,7286711.409,-15.66471884,-26.52013788,-23.21908014,-42.56810344
HEBJAB_stripped.cif,4.1551,4.69189,1.19151,498.525,418.396,0.46676,0.391737,7.54E-06,0.00470403,0.00245377,359.503,0.000266013,1.30E-05,2.00E-05,713338.9533,21673728,17430916.25,-19.30422503,-49.5632295,-40.05003535,-78.92007944
HEBJIJ_stripped.cif,4.06109,6.10782,1.2637,515.683,408.075,0.4669,0.369471,2.58E-06,0.00161251,0.000515312,2056.07,0.000468785,1.98E-05,8.98E-05,457040.5094,12041118.75,17458092.76,-15.38079251,-41.76385025,-34.85566228,-84.04020939
HEBKEG_stripped.cif,3.86501,5.17685,1.56809,689.302,439.579,0.47626,0.303719,3.84E-05,0.000140918,0.00136634,3.27E-05,5.71E-06,0.000166445,5.77E-06,102706.4103,10978989.4,3691959.974,-24.61701565,-29.17174044,-35.63293069,-27.27032781
HEBXIX_stripped.cif,4.30929,5.11994,1.07223,1048.25,977.634,0.57014,0.531734,0.000012131,0.00474574,0.00426375,696.524,0.00015211,2.33E-05,1.66E-05,590605.8916,35409722.02,22616709.29,-19.10886442,-42.17469487,-40.23472365,-78.84533909
HECQUB_stripped.cif,5.11674,8.60372,0.785068,2102.47,2678.07,0.68916,0.877835,1.46E-05,3.23E-05,8.27E-05,2.40E-06,0.000978023,0.000496173,0.000463416,3337699.911,3751750.198,8982399.819,-15.8564409,-19.3114761,-21.39298757,-10.41095901
HECYAR_stripped.cif,4.27673,5.67484,1.26787,485.458,382.892,0.4481,0.353427,6.91E-05,0.000221389,0.0011832,2.54E-06,0.000225778,6.57E-05,0.000124726,5901602.319,5500812.893,55852817.26,-25.14319729,-29.70380364,-32.798897,-16.18394893
HECYAR01_stripped.cif,4.39506,5.74747,1.2481,513.269,411.24,0.45518,0.364698,6.27E-05,0.00020338,0.00102932,2.52E-06,0.000212993,9.44E-05,0.000132496,4979143.26,7151318.053,50810859.63,-24.67365499,-29.21569434,-32.19768901,-16.01249411
HEDCAW_stripped.cif,6.62352,8.17644,0.938003,1867.71,1991.16,0.63754,0.679678,1.50E-05,0.000490035,0.000348286,0.213699,0.000622788,6.28E-05,0.000207164,2610191.332,8615419.722,20202720.6,-17.66680099,-38.7440363,-29.15133951,-55.4930274
HEDCIE_stripped.cif,6.25656,6.94358,1.02856,1503.81,1462.06,0.58184,0.565686,1.91E-05,5.81E-05,0.000193212,2.79E-05,0.000422338,0.000191157,0.000219588,2477094.215,3408927.6,13026488.51,-19.20554454,-24.19440754,-26.39692157,-30.77785442
HEFDUT_stripped.cif,7.47617,9.50457,1.14708,906.957,790.669,0.58214,0.507499,2.75E-05,0.000202761,0.000906705,0.459337,0.000138249,8.38E-05,6.51E-05,1303048.952,5817057.595,20206449.25,-22.80027684,-32.29576167,-35.25809679,-61.29234433
HEFFEF_stripped.cif,8.35297,9.54316,1.17123,1022.58,873.08,0.56412,0.481647,1.93E-05,0.000263261,0.000989716,0.0389688,0.00012744,6.80E-05,1.34E-05,859850.2766,6262411.11,4631745.403,-23.26990601,-35.92442737,-38.03239671,-58.4549311
HEGJUZ_stripped.cif,4.73915,6.22529,1.09032,1060.07,972.259,0.55374,0.50787,3.60E-05,9.65E-05,0.000435642,2.79E-06,0.0002137,0.000170564,0.000101934,2504064.05,5357263.843,14452976.6,-21.58404226,-25.74880681,-29.29409753,-14.38507733
HEGTIY_stripped.cif,4.06476,4.75695,1.21804,325.559,267.28,0.45364,0.372433,3.34E-05,0.000339056,0.00115848,1.87E-05,0.000535638,0.000114078,0.000353093,6513163.118,14063445.84,148728669.2,-24.56350618,-34.2583665,-35.28630804,-26.07642206
HEGWUN_stripped.cif,3.96931,4.84653,1.85849,468.388,252.026,0.47056,0.253195,6.99E-06,0.00269187,0.000592946,0.148917,0.000377237,1.47E-05,0.000105534,1461845.633,21986205.02,34715546.12,-20.80469499,-45.55268973,-35.58337995,-59.86208324
HEHCOO_stripped.cif,7.84652,9.66573,0.868335,1827.67,2104.8,0.66614,0.767146,3.95E-06,1.12E-05,0.000048963,8.01E-06,0.000646972,0.000256359,0.000110974,662953.5031,746132.4438,1408419.613,-13.70473824,-20.11275115,-26.91301817,-21.36855095
HEHTUM_stripped.cif,4.59197,5.41494,1.27339,698.372,548.436,0.50646,0.397726,7.30E-05,0.00198333,0.00589269,0.759103,0.000365011,0.000105513,0.000114518,10134181.02,79545756.34,256509245.7,-24.70708644,-39.33570554,-38.85156909,-60.56537562
HEHVAU_stripped.cif,4.74129,5.45504,1.38155,742.047,537.112,0.52028,0.376592,5.47E-05,0.0024556,0.00691216,3.23205,0.000392448,0.000106239,9.38E-05,8850874.015,107588192.2,267403091.5,-23.90949967,-40.4788438,-39.98239038,-64.64856027
HEHZAY_stripped.cif,5.41133,7.56668,1.31176,1679.22,1280.12,0.60122,0.45833,1.20E-05,0.000458885,0.000184453,16.6664,0.00085836,9.79E-05,0.000378341,4042135.767,17590994.75,27326140.63,-17.61224633,-40.05511901,-27.00180646,-75.77050984
HEJNES_stripped.cif,7.83204,12.18755,0.638806,1727.34,2704.01,0.7455,1.16702,9.39E-06,2.53E-05,5.62E-05,2.93E-06,0.000574632,0.000336704,0.000290359,1028768.834,1623489.188,3113408.767,-15.3078466,-20.51994819,-21.84924881,-11.37421387
HEJQAR_stripped.cif,4.74052,6.46286,1.53305,992.865,647.642,0.56652,0.369539,5.75E-06,1.07E-05,4.03E-05,6.81E-07,0.00050426,0.000296906,0.000286935,1327432.085,1452648.886,5296911.6,-18.17077995,-20.67967579,-23.72848929,-11.32926884
HEJQEV_stripped.cif,4.49653,6.17422,1.2739,851.933,668.761,0.5272,0.413848,8.40E-06,0.000015949,6.88E-05,7.99E-07,0.000526858,0.000323461,0.000293411,1681987.454,1961761.372,7679027.35,-19.35855673,-22.23503623,-25.36389924,-11.31313032
HEJQIZ_stripped.cif,4.27137,5.89045,1.45711,704.351,483.389,0.51356,0.352451,1.08E-05,2.40E-05,0.000107576,8.74E-07,0.000350232,0.000275238,0.000186379,1640998.751,2870393.911,8720873.717,-21.00855395,-24.81223703,-27.54138203,-12.46011801
HEJTIC_stripped.cif,5.05847,5.71843,1.35399,767.317,566.71,0.48544,0.358527,2.22E-05,6.60E-05,0.000313744,4.05E-06,0.000289843,0.000164652,0.000196581,2604179.466,4394751.634,24927985.12,-21.072514,-25.7537727,-28.91070661,-18.21044834
HEJTOI_stripped.cif,4.35165,7.02975,1.15015,1310.62,1139.52,0.58552,0.509081,3.17E-05,0.000113053,0.000502896,1.69E-05,0.000154744,0.000138649,0.000165558,1685671.26,5381567.108,28585061.48,-20.58940663,-25.9240143,-29.08857616,-21.72800183
HEJWEB_stripped.cif,7.06158,10.95668,0.71876,1866.33,2596.6,0.66674,0.927625,0.00002352,6.24E-05,0.000257907,3.18E-05,0.000262766,0.000292079,8.72E-05,1326005.456,3911905.887,4827573.06,-19.85365825,-24.07583732,-28.37766711,-28.47814482
HEKTAU_stripped.cif,3.91007,4.8738,1.26051,551.487,437.512,0.49334,0.391383,3.67E-05,0.000795325,0.0012679,9.83573,0.000146432,6.50E-05,5.83E-05,2021211.502,19459058.67,27836990.73,-23.59515287,-37.97397536,-36.15713667,-72.64629224
HELCEI_stripped.cif,3.85615,5.65896,1.12133,1096.91,978.216,0.6016,0.536504,0.000017666,0.000909057,0.00141853,9.90916,0.000135328,3.64E-05,4.55E-05,800227.8789,11068551.01,21610793.23,-19.36320761,-37.86284338,-35.64771992,-66.97942684
HESJOE_stripped.cif,3.98574,4.74436,0.99474,609.17,612.391,0.514,0.516718,5.70E-06,0.0112059,0.159697,3750020,0.000499861,0.000533203,5.91E-05,845429.8854,1774207453,2800501874,-15.76744209,-40.66306734,-50.0754632,-100.9461996
HETZUC_stripped.cif,3.81138,5.4945,1.70676,306.257,179.437,0.45216,0.264923,8.45E-06,5.04E-05,0.000131383,7.27E-06,0.000419395,0.000154502,0.000117949,1804805.621,3969458.011,7895155.926,-21.16639811,-29.01942018,-29.39938212,-25.09661505
HEVXAI_stripped.cif,4.06888,4.34764,1.71127,322.826,188.648,0.44984,0.26287,5.61E-06,0.17043,0.126793,5580.9,0.000713611,1.51E-06,5.97E-05,2044670.353,131476779.3,3868484506,-20.25509028,-56.75703096,-53.75266888,-85.93748663
HEWFAR_stripped.cif,3.96781,5.17768,1.85088,664.697,359.124,0.50258,0.271535,5.68E-06,0.00331223,0.000422532,25104.7,0.000331148,1.15E-05,4.25E-05,1039273.203,21102284.64,9927073.547,-18.5403827,-44.17552394,-33.2139524,-94.72451809
HEWFAR02_stripped.cif,4.03717,5.37981,1.79775,747.749,415.935,0.52356,0.29123,5.42E-06,0.00220018,0.000367845,92457.3,0.000355082,1.08E-05,6.43E-05,1032099.949,12781258.81,12685297.89,-18.04615044,-42.97719089,-32.63419966,-98.33518659
HEWFUL_stripped.cif,4.94311,5.58263,1.74423,365.224,209.39,0.32172,0.184448,9.26E-06,0.000022963,9.95E-05,0.515933,0.002255622,0.000469522,0.001163914,10873072.93,5613622.928,60295807.31,-21.47442766,-25.15288326,-27.67757011,-68.02439561
HEWNOM_stripped.cif,4.48546,5.17708,1.70591,682.994,400.369,0.4872,0.285595,7.42E-06,5.10E-05,0.00255893,0.00123047,0.000273835,5.04E-05,1.13E-05,1035355.096,1308973.099,14761124.95,-20.57476597,-32.84377279,-45.59205457,-43.43604998
HEXKEB_stripped.cif,4.58558,5.82456,1.27001,499.154,393.031,0.44718,0.352107,5.78E-05,0.000221916,0.000939408,2.76E-06,0.001230152,0.000572056,0.000646468,26955821.24,48127104.82,230230948.1,-24.2548391,-29.17577883,-31.83036648,-16.25701293
HEXMII_stripped.cif,4.28507,5.07456,0.407374,1995.12,4897.53,0.75866,1.86232,1.14E-05,0.33805,0.114661,3591940,0.000167138,6.49E-06,6.75E-05,232382.3177,266998074.9,941053434.2,-14.42642497,-54.86156641,-46.34350688,-94.92125998
HEXNII_stripped.cif,4.12347,4.82369,1.56728,414.698,264.597,0.42806,0.273123,6.26E-05,0.000159372,0.00129764,1.91E-06,0.000142521,0.000172211,6.92E-05,4174197.973,12840261.98,42000904.03,-26.72169639,-30.7868504,-34.9015527,-15.92671397
HEXVEM_stripped.cif,15.94268,28.43129,0.251735,1369.66,5440.87,0.9015,3.58115,5.74E-06,1.07E-05,1.48E-05,1.32E-05,0.002278379,0.001192572,0.000991697,983485.5583,960822.3264,1101798.189,-8.699179449,-12.54916719,-13.00567782,-19.63232295
HEYDEV_stripped.cif,4.00572,4.69779,1.80205,563.954,312.951,0.458,0.254155,4.40E-05,0.000103594,0.0011407,5.35E-06,0.000116769,0.000234532,2.89E-05,2763230.128,13069500.86,17721926.17,-25.42972792,-29.56785468,-35.13260266,-21.46798912
HIBSES_stripped.cif,5.27142,7.47195,0.878767,1637.15,1863.01,0.63596,0.723696,2.15E-05,0.00194016,0.00100038,1187.74,0.00055455,1.20E-05,8.11E-05,3133878.619,6121408.221,21285397.13,-19.0882438,-44.93531772,-37.35792735,-78.47636688
HICVOG_stripped.cif,4.36319,4.80065,1.25646,821.321,653.679,0.55532,0.441972,7.82E-05,0.000286074,0.00148221,6.84E-06,0.000981348,0.000333977,0.000581382,28791352.77,35834296.08,323202938.8,-24.44472444,-29.50919613,-32.72418177,-18.54228337
HICVUM_stripped.cif,4.18091,5.71057,1.38731,1267.01,913.286,0.56164,0.404842,3.17E-05,0.00079515,0.00370388,132.335,0.000419507,9.84E-05,4.77E-05,5507383.658,32412799.86,73089535.17,-20.90317398,-37.56546513,-42.02167726,-76.07033777
HIDTUK_stripped.cif,3.9877,4.91938,1.38367,292.054,211.073,0.46298,0.334604,6.55E-06,2.20E-05,0.000103905,9.49E-06,0.000373829,0.000132257,0.000111022,1010671.638,1201477.916,4764679.42,-21.20129639,-27.35166544,-29.40835478,-36.37761364
HIDZOK_stripped.cif,4.81391,5.56744,0.720344,3322.32,4612.13,0.76962,1.06841,2.04E-06,0.000160321,0.000218602,342.414,0.002139487,0.000188474,0.000124783,937084.588,6497345.318,5865500.895,-8.850650223,-28.01648553,-27.62124297,-71.47129962
HIFGIO_stripped.cif,12.05658,12.58481,0.731181,1601.14,2189.8,0.71322,0.975435,1.28E-05,3.32E-05,0.000116127,3.61E-06,0.000504086,0.000297993,0.000167767,1410519.976,2157882.18,4252268.808,-17.08812282,-22.04330357,-25.43346899,-13.68260274
HIFGOU_stripped.cif,4.72992,5.85401,1.10411,588.343,532.867,0.50266,0.455263,0.000111793,0.000377553,0.003295,8.33E-06,0.000366535,9.47E-05,6.58E-05,13505084.78,11789032.32,71412216.32,-27.23010536,-32.17478947,-37.79123109,-19.75211626
HIFGUA_stripped.cif,4.00981,5.31642,0.913829,1434.16,1569.4,0.6118,0.669491,6.30E-05,0.000772094,0.00202049,0.0945111,0.000120673,6.55E-05,5.67E-05,2075387.725,13785499.94,31253712.2,-23.45310303,-33.04865757,-33.43580425,-52.8802603
HIFHEL_stripped.cif,3.99588,6.20777,1.93514,519.887,268.656,0.4019,0.207685,2.06E-05,0.000283091,0.00100092,0.000140014,0.000174731,0.000132176,8.20E-05,2079162.293,21614572.87,47385010.72,-22.94823036,-33.35375442,-36.12150475,-34.34386172
HIFHIP_stripped.cif,6.15645,6.64047,1.71861,676.517,393.643,0.42166,0.24535,1.31E-05,7.56E-05,0.000207127,1.49E-05,0.00055637,0.000266262,0.000199976,3743071.414,10331664.47,21249429.53,-20.599515,-27.61453794,-29.32365458,-28.33221486
HIFTOG_stripped.cif,4.14067,7.94254,2.2305,1300.6,583.096,0.6266,0.280923,1.28E-05,0.000214424,0.00022153,0.0163841,0.000165842,5.46E-05,7.13E-05,1411520.996,7802209.562,10511392.77,-18.98986492,-33.45586179,-29.61689069,-52.11269317
HIFTOG01_stripped.cif,7.92964,15.06075,0.971546,2184.25,2248.23,0.81062,1.38746,3.88E-06,1.74E-05,1.50E-05,0.00538747,0.001061727,0.000330295,0.000415305,1196035.484,1668299.253,1812661.633,-9.848894806,-20.8033879,-16.40295237,-49.43017579
HIFTOG02_stripped.cif,4.15102,7.86759,2.24253,1305.84,582.304,0.6288,0.280397,1.31E-05,0.000200327,0.000231743,0.00640907,0.000184964,5.48E-05,3.78E-05,1619821.897,7348682.089,5863126.949,-19.05642462,-32.9392862,-29.77588868,-51.40793336
HIFTOG03_stripped.cif,7.90574,14.99085,0.588633,2164.51,3677.18,0.81214,1.3797,3.04E-06,1.29E-05,1.15E-05,0.00153546,0.001420369,0.00028679,0.000447341,758975.0654,648860.2342,904499.5013,-9.011489075,-19.79982727,-15.83538665,-45.70588153
HIFVAV_stripped.cif,4.87952,5.70897,1.94552,1255.2,645.174,0.58224,0.299272,2.69E-06,6.27E-05,0.000166104,0.0140784,0.000303911,9.75E-05,3.89E-05,474577.024,3549998.355,3754614.554,-15.40494774,-29.53838989,-30.06517449,-51.03652071
HIFVOI_stripped.cif,6.56741,9.00136,0.85431,1887.14,2208.96,0.69234,0.810408,1.28E-05,4.23E-05,0.000119454,2.65E-06,0.000487477,0.000172657,0.000110136,1596046.304,1860364.165,3355050.062,-17.8758889,-24.01760944,-25.93552893,-13.61620173
HIFVUO_stripped.cif,5.9811,7.50154,0.819546,1955.99,2386.68,0.71096,0.867505,8.02E-06,2.04E-05,4.52E-05,2.37E-06,0.000618664,0.000282844,0.000260289,1214047.078,1408543.126,2876681.887,-14.66820366,-19.11870911,-20.59977916,-12.38612196
HIHGOW_stripped.cif,4.75672,7.37934,0.915888,1697.07,1852.92,0.61416,0.670562,3.54E-05,0.000150051,0.000441629,4.05E-06,0.000288065,0.000167379,0.000105214,2788442.12,6866529.545,12703629.75,-21.12495585,-28.15375054,-29.73623037,-14.35500359
HIHJUF_stripped.cif,4.89351,5.85362,1.47566,563.137,381.616,0.49786,0.33738,3.81E-05,0.000131776,0.000720409,0.00011408,0.001831961,0.000482406,0.000670328,30754780.2,28002085.21,212719933.3,-23.23256814,-27.6873568,-32.19076923,-41.48514767
HIHNUJ_stripped.cif,7.97253,8.1361,0.812993,2236.57,2751.03,0.71952,0.885026,1.75E-05,4.11E-05,0.000103729,3.61E-06,0.001155765,0.000649847,0.000710386,4896842.36,6481106.93,17882835.76,-15.69486141,-19.00026256,-21.15536722,-11.64102988
HIKMIY_stripped.cif,4.18955,4.74046,1.36488,449.292,329.181,0.44406,0.325347,5.03E-05,0.000150535,0.000935117,2.87E-06,0.000283696,0.000191794,0.000163981,5817660.875,11763082.45,62475599.29,-25.34154539,-29.85798918,-33.30570164,-17.90673319
HILKIY_stripped.cif,3.98614,5.34685,1.49752,265.942,177.589,0.41758,0.278848,0.000019135,0.000306745,0.000986085,0.0180025,0.000287277,0.000140652,6.66E-05,2457296.945,19286403.59,29367390.27,-23.99420855,-36.82721227,-36.47300038,-54.14527308
HIMGIU_stripped.cif,4.43558,5.00767,1.26219,724.338,573.873,0.4809,0.381004,9.81E-06,2.96E-05,0.00017828,8.79E-06,6.34E-05,0.00013334,6.98E-05,234503.2905,1485796.085,4690321.167,-19.7855724,-24.71515004,-29.27496502,-22.48702317
HINZAH_stripped.cif,4.41749,7.32434,1.14906,714.062,621.43,0.48234,0.419768,4.53E-05,0.000511381,0.00253332,2.99852,8.58E-05,2.15E-05,3.12E-05,1331310.311,3766008.578,27113502.99,-26.76311712,-39.39015063,-42.08833756,-71.81615934
HIPZAJ_stripped.cif,4.19896,6.47431,1.33557,1086.22,813.303,0.5164,0.386653,5.90E-05,0.017181,0.0444571,7255.9,3.30E-05,4.37E-06,2.39E-06,776903.638,29914209.36,42301426.4,-25.69362556,-51.10241749,-50.29717475,-88.61369003
