,Target,Method,Mean R2,SD R2,Mean MAE,SD MAE,Target SD
0,CO2 loading (mol/kg),SVM,0.8764554773458787,0.020238804635222856,0.63166299344854,0.03907552744300467,2.922100886232721
1,CH4 loading (mol/kg),SVM,0.9391129626341689,0.007728053720641395,0.11978101334022073,0.004851802963132625,0.7290192985298902
2,SC CO2 loading (mol/kg),SVM,0.9340296271801798,0.004829744220864853,0.694644033737332,0.02586320978981095,4.552568098123818
3,SC CH4 loading (mol/kg),SVM,0.8754222502986355,0.03219402205845036,0.39205594669129085,0.0397049030335708,1.7620383657909595
4,TSN,SVM,0.5969547135579105,0.06981475216463216,1.2041921046940085,0.06880567539631073,3.9420203918064325
5,LOG10 TSN,SVM,0.8350177141463824,0.03420054792490139,0.08969943747182144,0.007445157599875399,0.33820489823949274
