,Target,Method,Mean R2,SD R2,Mean MAE,SD MAE,Target SD
0,CO2 loading (mol/kg),RF,0.9092051374543215,0.015947821076122432,0.5540829537414205,0.03545072867782562,2.922100886232721
1,CH4 loading (mol/kg),RF,0.9371513983750199,0.014716945685816803,0.11517635519386789,0.012162705346248897,0.7290192985298902
2,SC CO2 loading (mol/kg),RF,0.9584488924132092,0.007668368589052884,0.5777899470008717,0.034229267423367654,4.552568098123818
3,SC CH4 loading (mol/kg),RF,0.8819997686803127,0.01113101097809313,0.3752647100586624,0.02422769865714104,1.7620383657909595
4,TSN,RF,0.7372300963652276,0.0790248689605971,1.0749486294034891,0.08368986322696807,3.9420203918064325
5,LOG10 TSN,RF,0.8252173766767312,0.04593399728473844,0.08339084139404311,0.0057416199650182605,0.33820489823949274
