,Class,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Score Mean,F1 Score SD,Support Mean,Support SD,Accuracy Mean,Accuracy SD
0,HIGH,0.8759977693783221,0.02055258624935845,0.9019939185822153,0.0264490690265857,0.8883649322255163,0.012967168227023781,126.3,6.0835844697020525,0.8798864315600717,0.014048484258555843
1,LOW,0.8855676533240755,0.02941081684451831,0.8546566745703721,0.02935158701932888,0.8692408294354372,0.018597999614398605,111.8,5.878775382679628,0.8798864315600717,0.014048484258555843
