,Class,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Score Mean,F1 Score SD,Support Mean,Support SD,Accuracy Mean,Accuracy SD,Briers Mean,Briers SD
0,HIGH,0.8502615010238628,0.02794438131235261,0.9165017683543496,0.025097371885772712,0.8815439548362513,0.013704164380188856,126.3,7.963039620647383,0.8698006399212405,0.013436527184508065,0.09179384271142209,0.008514028981990307
1,LOW,0.8964130736222528,0.03272654802473834,0.817851890485429,0.03410320925339418,0.8543547682416692,0.017852668372829637,111.8,7.984985911070851,0.8698006399212405,0.013436527184508065,0.09179384271142209,0.008514028981990307
