,Class,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Score Mean,F1 Score SD,Support Mean,Support SD,Accuracy Mean,Accuracy SD,Briers Mean,Briers SD
0,HIGH,0.896572378984447,0.023393198427335827,0.9249488897839052,0.020676332938643693,0.9102209795180187,0.014360086192285643,126.3,4.627094120503711,0.9033982630709188,0.015053421152307218,0.07004241306564467,0.00827459620806404
1,LOW,0.9121739664158115,0.023395731618129984,0.8796092660264907,0.025965443179961915,0.895215417502159,0.01658252682434345,111.8,4.489988864128729,0.9033982630709188,0.015053421152307218,0.07004241306564467,0.00827459620806404
