Thresholds,False Positive Rate,True Positive Rate
2.0,0.0,0.0
1.0,0.0,0.4626865671641791
0.9166666666666666,0.0,0.6194029850746269
0.8333333333333334,0.038461538461538464,0.6940298507462687
0.75,0.0673076923076923,0.7910447761194029
0.6666666666666666,0.08653846153846154,0.835820895522388
0.5833333333333334,0.125,0.8731343283582089
0.5,0.17307692307692307,0.9029850746268657
0.4166666666666667,0.2403846153846154,0.9328358208955224
0.3333333333333333,0.25961538461538464,0.9552238805970149
0.25,0.34615384615384615,0.9776119402985075
0.16666666666666666,0.41346153846153844,0.9850746268656716
0.08333333333333333,0.5384615384615384,0.9850746268656716
0.0,1.0,1.0
