,Class,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Score Mean,F1 Score SD,Support Mean,Support SD,Accuracy Mean,Accuracy SD,Briers Mean,Briers SD
0,HIGH,0.8781082341630014,0.03689291716252683,0.909716410557577,0.02620582233121151,0.8931572931020664,0.024812356389174308,126.3,10.421612159354233,0.8849126261383216,0.02701526349789347,0.08598600611792837,0.01564119249988566
1,LOW,0.8916639936699229,0.03700985344324218,0.8583548384197277,0.041010471984476604,0.8740481589810706,0.0312469779790108,111.8,10.43839068055991,0.8849126261383216,0.02701526349789347,0.08598600611792837,0.01564119249988566
