,Class,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Score Mean,F1 Score SD,Support Mean,Support SD,Accuracy Mean,Accuracy SD
0,HIGH,0.8810512673709967,0.031525604130421506,0.8933584421415258,0.035789108008214866,0.886959226849753,0.030961684439372174,126.3,8.626123115281858,0.8799163179916318,0.03123530184011995
1,LOW,0.8783360139918965,0.03603054071220222,0.8632869297557126,0.03851510860523928,0.8704443597064222,0.03388349801908642,111.8,8.657944328765346,0.8799163179916318,0.03123530184011995
