Thresholds,False Positive Rate,True Positive Rate
2.0,0.0,0.0
1.0,0.0,0.11955661124307206
0.998,0.0,0.19081551860649248
0.996,0.0,0.21377672209026127
0.994,0.0008944543828264759,0.2414885193982581
0.992,0.0008944543828264759,0.2604908946951702
0.99,0.0008944543828264759,0.28186856690419637
0.988,0.0008944543828264759,0.29691211401425177
0.986,0.0008944543828264759,0.31353919239904987
0.984,0.0008944543828264759,0.3269992082343626
0.982,0.0008944543828264759,0.34679334916864607
0.98,0.0008944543828264759,0.3578780680918448
0.978,0.0008944543828264759,0.36500395882818687
0.976,0.0008944543828264759,0.3760886777513856
0.974,0.0008944543828264759,0.3919239904988123
0.972,0.0008944543828264759,0.3998416468725257
0.97,0.0008944543828264759,0.4172604908946952
0.966,0.0008944543828264759,0.4410134600158353
0.964,0.0008944543828264759,0.4489311163895487
0.962,0.0008944543828264759,0.45605700712589076
0.96,0.0017889087656529517,0.46476642913697547
0.956,0.0017889087656529517,0.4821852731591449
0.952,0.0017889087656529517,0.4932699920823436
0.95,0.0017889087656529517,0.4972288202692003
0.948,0.0017889087656529517,0.5019794140934284
0.946,0.0017889087656529517,0.505938242280285
0.944,0.0017889087656529517,0.5106888361045131
0.942,0.0026833631484794273,0.5154394299287411
0.94,0.0026833631484794273,0.5209817893903405
0.938,0.0026833631484794273,0.5257323832145685
0.934,0.0026833631484794273,0.5336500395882818
0.932,0.0035778175313059034,0.5384006334125099
0.93,0.0035778175313059034,0.5423594615993665
0.928,0.0035778175313059034,0.552652414885194
0.926,0.0035778175313059034,0.5566112430720507
0.924,0.0035778175313059034,0.5597783056215361
0.922,0.0035778175313059034,0.56215360253365
0.92,0.0035778175313059034,0.5676959619952494
0.918,0.004472271914132379,0.5748218527315915
0.916,0.004472271914132379,0.5827395091053048
0.914,0.004472271914132379,0.5851148060174188
0.912,0.004472271914132379,0.5882818685669042
0.908,0.004472271914132379,0.599366587490103
0.906,0.005366726296958855,0.6080760095011877
0.904,0.005366726296958855,0.6104513064133017
0.902,0.005366726296958855,0.6144101346001584
0.9,0.005366726296958855,0.6167854315122724
0.896,0.005366726296958855,0.6278701504354711
0.894,0.005366726296958855,0.6365795724465558
0.892,0.005366726296958855,0.6389548693586699
0.89,0.006261180679785331,0.6437054631828979
0.888,0.006261180679785331,0.6444972288202692
0.886,0.006261180679785331,0.6484560570071259
0.884,0.008050089445438283,0.6508313539192399
0.882,0.008050089445438283,0.6539984164687253
